,post_type,post_status,post_id,custom_todofuken_no,tax_todofuken,custom_sortorder,post_title,custom_postalcode,custom_address,custom_memo_available_datetime,custom_phone,custom_website,tax_is_open_sunday,tax_is_open_holiday,社内メモ,追加日
,medical-institution,publish,77700011,1,北海道,1,北海道立江差病院,043-0022,檜山郡江差町伏木戸町484番地,月・火9:00～11:30,0139-52-0036,https://esashi.hospital.hokkaido.jp/,,,,
,medical-institution,publish,77700012,1,北海道,1,ＪＡ北海道厚生連倶知安厚生病院,044-0004,虻田郡倶知安町北4条東1丁目2番地,72時間以内に平日があれば、平日の産婦人科へ搬送する。（平日8～ 11時と月・火の14時～16時）72時間以内が休日しかない場合、翌日10時頃に来院、翌日10時までに72時間が経過する場合、医師の判断にて可否を決定する。,0136-22-1141,https://www.dou-kouseiren.com/byouin/kutchan/,,,,
,medical-institution,publish,77700013,1,北海道,1,寿都町立寿都診療所,048-0406,寿都町渡島町72番地2,"平日8:30-16:30
時間外及び休日・祝日は要TEL",0136-62-2411,http://www.town.suttu.lg.jp/life/detail.php?id=55,△,△,,
,medical-institution,publish,77700014,1,北海道,1,医療法人社団岩見沢レディースクリニック,068-0028,岩見沢市8条西19丁目3-1,"平日９：００～１９：００
土曜９：００～１３：００
日曜９：００～１３：００（日曜、祝日）",0126-23-2222,,△,△,,
,medical-institution,publish,77700015,1,北海道,1,砂川市立病院,073-0196,砂川市西4条北3丁目1-1,平日8：30～12：30,0125-54-2131,http://www.med.sunagawa.hokkaido.jp/,,,,
,medical-institution,publish,77700016,1,北海道,1,医療法人社団たきかわ産科婦人科クリニック,073-0021,滝川市本町2丁目5番18号,"月・火・水・金8：30〜12：00/13：00〜 17：00
木・土8：30〜12：00",0125-23-3039,,,,,
,medical-institution,publish,77700017,1,北海道,1,名寄市立総合病院,096-8511,名寄市西7条南8丁目1番地,平日8:30-17:00,01654-3-3101,http://www.nayoroch.jp/,,,,
,medical-institution,publish,77700018,1,北海道,1,社会福祉法人北海道社会事業協会富良野病院,076-8765,富良野市住吉町1-30,"平日8:30～16:50
土曜8:30～12:00（第２、４土曜休診）",0167-23-2181,http://www.msknet.ne.jp/~furano-hospital/,,,,
,medical-institution,publish,77700019,1,北海道,1,留萌市立病院,077-8511,留萌市東雲町2丁目16番地,"平日８：４５～１７：００
土日祝日８：４５～１７：００",0164-49-1011,http://www.rumoi-hp.jp,◯,◯,,
,medical-institution,publish,77700020,1,北海道,1,市立稚内病院,097-8555,稚内市中央4丁目11番6号,24時間対応可能,0162-23-2771,http://www.city.wakkanai.hokkaido.jp/hospital/,◯,◯,,
,medical-institution,publish,77700021,1,北海道,1,利尻島国保中央病院,097-0401,利尻郡利尻町沓形字緑町11番地,"受付時間
月・木曜日8：30-15：00
火・水・金曜日8：30-11：00",0163-84-2626,http://www.town.rishiri.hokkaido.jp/KOKUHO/,,,,
,medical-institution,publish,77700022,1,北海道,1,網走厚生病院,093-0076,網走市北6条西1丁目9番地,24時間対応可能,0152-43-3157,https://www.dou-kouseiren.com/byouin/abasiri/,◯,◯,,
,medical-institution,publish,77700023,1,北海道,1,金川医院,093-0012,網走市南2条西2丁目10番地,平日8：30～17：30 土日祝8：30～12：00,0152-43-2884,,△,△,,
,medical-institution,publish,77700024,1,北海道,1,やまかわウィメンズクリニック,090-0804,北見市桜町5丁目8番地,"月・木9:00～12:00、14:00～18:00火・金9:00～12:00、14:00～17:00
水、第１・３土9:00～12:00",0157-66-0011,http://www.myclinic.ne.jp/ywc06/,,,,
,medical-institution,publish,77700025,1,北海道,1,産科・婦人科北見レディースクリニック,090-0020,北見市大通東2丁目11番地,平日9:00～17:00（月・火・木・金）水・土9:00～12:00,0157-31-0303,,,,,
,medical-institution,publish,77700026,1,北海道,1,医療法人社団公和会中村記念愛成病院,090-0051,北見市高栄東町4丁目20番1号,"【月・水・金】9：00～17：00
【火・木・土】9：00～12：00",0157-24-8131,https://www.kouwakai-nakamura.jp/,,,,
,medical-institution,publish,77700027,1,北海道,1,広域紋別病院,094-8709,紋別市落石町1-10-37,"平日
①9:00-11:00
②13:00-15:00
※②について水、木曜日は除く",0158-24-3111,https://www.mombetsu-hospital.jp,,,,
,medical-institution,publish,77700028,1,北海道,1,社会医療法人製鉄記念室蘭病院,050-0076,室蘭市知利別町1丁目45番地,（受付時間）平日8:30～11:00,0143-44-4650,http://www.nshp-muroran.or.jp/,,,,
,medical-institution,publish,77700029,1,北海道,1,医療法人緑風会石田内科胃腸科,049-5615,洞爺湖町本町195,"平日
８：３０～１１：３０１１：３０～１８：００土８：３０～１１：３０",0142-76-3838,http://ishidanaikaichoka.com/custom3.html,,,,
,medical-institution,publish,77700030,1,北海道,1,社会医療法人母恋日鋼記念病院,051-8501,室蘭市新富町1-5-13,24時間365日対応可能,0143-24-1331,https://www.nikko-kinen.or.jp/,◯,◯,,
,medical-institution,publish,77700031,1,北海道,1,"医療法人社団のぞみ会レディースクリニックぬまのは
た",059-1304,苫小牧市北栄町2-27-7,"平日9：00-12：0014：00-17：00
土曜9：00-12：00",0144-53-0303,https://ladies-numanohata.com/index.html,,,,
,medical-institution,publish,77700032,1,北海道,1,王子総合病院,053-8506,苫小牧市若草町3丁目4-8,平日8：30-11：00,0144-32-8111,http://www.ojihosp.or.jp/,,,,
,medical-institution,publish,77700033,1,北海道,1,医療法人社団苫仁会桜木ファミリークリニック,053-0832,苫小牧市桜木町2丁目25-1,"月・火・木・金9：00-12：0014：00-17： 00
土（第２・４週）9：00-12：00",0144-71-2351,http://www.mc-senjinkai.or.jp,,,,
,medical-institution,publish,77700034,1,北海道,1,新ひだか町立静内病院,056-0004,新ひだか町静内緑町4丁目5番1号,火曜日～木曜日8：30～16：00,0146-42-0181,https://www.shinhidaka-hokkaido.jp/hospital/,,,,
,medical-institution,publish,77700035,1,北海道,1,医療法人社団慶愛慶愛女性クリニック,080-2473,帯広市西23条南2丁目16番地,"平日午前8:30～11:00午後13:30～16:00
土・日・祝日は休診",0155-61-1155,http://www.keiai.or.jp,,,,
,medical-institution,publish,77700036,1,北海道,1,（医）慶愛慶愛病院,080-0803,帯広市東3条南9丁目2番地,平日9:00-17:00土曜9:00-12:30,0155-22-4188,https://www.keiai.or.jp/,,,,
,medical-institution,publish,77700037,1,北海道,1,医療法人社団慶香会坂野産科婦人科,080-0019,帯広市西9条南10丁目1-3,"AM9:00～12:30月～土
PM14:00～17:00月・火・水・金",0155-26-1188,,,,,
,medical-institution,publish,77700038,1,北海道,1,帯広レディースクリニック,080-0013,帯広市西3条南4丁目14三条メディカルセンター2F,月・火・水・金 9：00～12:0014:00～17:00木9：00～12:00,0155-22-3773,,,,,
,medical-institution,publish,77700039,1,北海道,1,社会福祉法人北海道社会事業協会帯広病院,080-0805,帯広市東5条南9丁目2,"受付時間
平日8:30～11:00、13:00～15:00
土曜（第1、第3、第5）8:30～11:00",0155-22-6600,http://www.obihiro-kyokai-hsp-jp,,,,
,medical-institution,publish,77700040,1,北海道,1,市立釧路総合病院,085-0822,釧路市春湖台1-12,平日：8時30分～11時00分土・日・祝日は対応不可,0154-41-6121,http://www.kushiro-cghp.jp/,,,,
,medical-institution,publish,77700041,1,北海道,1,総合病院釧路赤十字病院,085-8512,釧路市新栄町21番14号,平日：8:30-17:05（要問合せ）,0154-22-7171,http://www.kushiro.jrc.or.jp,,,,
,medical-institution,publish,77700042,1,北海道,1,くしろレディースクリニック,085-0047,釧路市新川町2-23,"月・火・木・金８：３０-１６：３０水８：３０-１２：３０
土８：３０-１３：３０",0154-32-1020,https://kushiro-ladies.jp/,,,,
,medical-institution,publish,77700043,1,北海道,1,医療法人社団足立産婦人科クリニック,085-0052,釧路市中園町8番1号,"【月～水・金】  8:30～12:15、13:30～16:30
【木・土（第１・３）】8:30～12:15
【土（第２・４）】 8:30～12:15、13:30～15:30",0154-25-7788,http://www.adachi-woman.jp,,,,
,medical-institution,publish,77700044,1,北海道,1,市立根室病院,087-8686,根室市有磯町1丁目2番地,平日8：30～15：00,0153-24-3201,https://www.city.nemuro.hokkaido.jp/cgi-bin/hsp/index.php,,,,
,medical-institution,publish,77700045,1,北海道,1,町立中標津病院,086-1110,標津郡中標津町西10条南9丁目1番地1,平日8：30～17：15,0153-72-8200,http://nakashibetsu-hospital.jp/,,,,
,medical-institution,publish,77700046,1,北海道,1,町立別海病院,086-0203,別海町別海西本町103番地の9,24時間毎日対応,0153-75-2311,betsukai.jp/bhp/index.html,◯,◯,,
,medical-institution,publish,77700047,1,北海道,1,ＮＴＴ東日本札幌病院,060-0061,札幌市中央区南1条西15丁目,月曜日～金曜日8：20～15：30,011-623-7000,http://www.ntt-east.co.jp/smc/,,,,
,medical-institution,publish,77700048,1,北海道,1,社会医療法人社団カレスサッポロ時計台記念病院,060-0031,札幌市中央区北1条東1丁目2番3号,平日8：30-17：00土曜電話により要確認,011-251-1221,http://www.tokeidaihosp.or.jp/,,,,
,medical-institution,publish,77700049,1,北海道,1,札幌マタニティ・ウイメンズホスピタル,001-0013,札幌市北区北13条西4丁目2番23号,月・土9：00-16：30火～金9：00-19： 00,011-746-5505,https://www.smwh.or.jp/,,,,
,medical-institution,publish,77700050,1,北海道,1,医療法人育愛会札幌東豊病院,065-0017,札幌市東区北17条東15丁目3番1号,平日9：00-19：00土曜・日曜9：00- 16：30,011-704-3911,http://www.toho-hosp.or.jp/,◯,,,
,medical-institution,publish,77700051,1,北海道,1,札幌白石産科婦人科病院,003-0005,札幌市白石区東札幌5条6丁目6-28,"日中外来時
平日9：00～12：3014：00～16：30土曜9：00～12：30",011-862-7211,http://www.shiroishi.or.jp/,,,,
,medical-institution,publish,77700052,1,北海道,1,勤医協札幌病院,003-0804,札幌市白石区菊水4条1丁目9番22号,"平日9：00～17：00（水曜のみ9：00～ 12：30）
土9：00～12：30",011-811-2246,,,,,
,medical-institution,publish,77700053,1,北海道,1,医療法人徳洲会札幌徳洲会病院,004-0041,札幌市厚別区大谷地東1丁目1番1号,"月曜日～金曜日９：００～１７：００ 
土曜日９：００～１１：００
日祝対応不可",011-890-1110,www2.satutoku.jp,,,,
,medical-institution,publish,77700054,1,北海道,1,ＫＫＲ札幌医療センター,062-0931,札幌市豊平区平岸1条6丁目3番40号,平日9:00～17:00土日9:00～13:00,011-822-1811,https://www.kkr-smc.com/,,,,
,medical-institution,publish,77700055,1,北海道,1,医療法人社団エナ大通クリニック,060-0001,札幌市中央区北1条西4丁目1番地1三甲大通公園ビル2階,"月10：00～13：3015：00～19：30
火・木・金10：00～13：3015：00～18： 00
土10：00～13：3016：00～19：00",011-241-3000,www.ena-odori.com,,,,
,medical-institution,publish,77700056,1,北海道,1,オアシスレディースクリニック,064-0922,札幌市中央区南22条西11丁目1-48山鼻メディカルビル4階,月・火・木・金：9~18時、水：9~12時、土：9~14時,011-512-2525,www.dosanko-c.com/oasis,,,,
,medical-institution,publish,77700057,1,北海道,1,セントベビークリニック,060-0001,札幌市中央区北1条西2丁目1番地札幌時計台ビル2階,診療時間内であれば対応可能,011-215-0880,http://stbaby.org/,,,,
,medical-institution,publish,77700058,1,北海道,1,にしかわウイメンズヘルスクリニック,060-0061,札幌市中央区南1条西14丁目291-81ｳｨｽﾃﾘｱ南1条ﾋﾞﾙ2F,"火・木・金→午前）9:00～12:00午後） 14:00～17:30
水→午前）9:00～12:00
土→午前）9:00～12:00午後）13:00～ 16:30",011-213-1730,https://nishikawa-whc.com/,,,,
,medical-institution,publish,77700059,1,北海道,1,のだレディースクリニック,060-0011,札幌市中央区北11条西15丁目2番1号桑園メディカルプラザ,"月・火・水・金10：00～13：0015：00～ 19：00
木・土10：00～13：00",011-708-0550,,,,,
,medical-institution,publish,77700060,1,北海道,1,まどかレディースクリニック,060-0042,札幌市中央区大通西5丁目8番地昭和ビル,"月（第２・第４）8：30～13：0015：00～ 18：30
火～木・金（第４のみ）8：30～13： 0015：00～18：30
金15：00～13：30土8：30～13：00",011-231-0080,madoka-lc.com,,,,
,medical-institution,publish,77700061,1,北海道,1,円山レディースクリニック,064-0821,札幌市中央区北1条西25丁目1番16号,平日9：00～18：30土曜9：00～15：00,011-614-0800,https://maruyama-ladies.com/,,,,
,medical-institution,publish,77700062,1,北海道,1,（医）みぶな会ひなたクリニック,060-0003,"札幌市中央区北3条西4丁目1番日本生命札幌ビル
3階","月・火・木・金10：00～13：0015：00～ 19：00
水・土10：00～13：00",011-204-8000,http://www.hinataclinic.com,,,,
,medical-institution,publish,77700063,1,北海道,1,医療法人社団ゆほな会はやしたくみ女性クリニック,064-0820,札幌市中央区大通西25丁目1番2号ハートランド円山ビル3階,"月・火・水・金9：00～12：3014：00～ 18：30
木9：00～12：30       1・3・5土9：00～12：30
2・4土9：00～12：3014：00～17：00",011-640-8845,womens-clinic.jp,,,,
,medical-institution,publish,77700064,1,北海道,1,医療法人社団ルミネレディースクリニック,060-0061,札幌市中央区南1条西2丁目5番地南1条Kビル3F,"月、火、金9：00～12：00、13：00～ 16：30
水9：30～12：30、13：30～18：30木9：00～13：00
土（隔週）9：00～13：00",011-200-7700,http://lumine-clinic.com/,,,,
,medical-institution,publish,77700065,1,北海道,1,吉尾産婦人科,064-0808,札幌市中央区南8条西3丁目1-7,"月水金９：００～１９：００火土９：００
～１５：００日９：００～１２：００",011-511-5564,http://www.myclinic.ne.jp/yoshio/,,,,
,medical-institution,publish,77700066,1,北海道,1,医療法人社団草薙レディースクリニック,060-0002,札幌市中央区北2条西1丁目マルイト札幌ビル2階,"月・火・木・金10：00～13：0015：00～ 18：00
水・土10：00～13：00
（第１・第３水曜日休診）",011-222-9372,http://www.klc-kusanagi.sakura.ne.jp/,,,,
,medical-institution,publish,77700067,1,北海道,1,林レディースクリニック,060-0062,札幌市中央区南2条西3丁目,"水曜以外の平日10：00～13：0015： 00～17：30
水12：00～17：30土10：00～13：00完全予約制",011-206-3050,,,,,
,medical-institution,publish,77700068,1,北海道,1,"医療法人礼風会札幌ル・ト
ロワビューティクリニックＶｏ ｇｕｅ",060-0042,札幌市中央区大通西1丁目13番地ル・トロワ6階,11：00～20：00無休、完全予約制,0120-174-871,https://slbc-vogue.jp/,,,,
,medical-institution,publish,77700069,1,北海道,1,響きの杜クリニック,064-0802,札幌市中央区南2条西27丁目1番9号,平日9：00～17：30土曜9：00～12：30,011-632-8331,https://hibikinomori.org/,,,,
,medical-institution,publish,77700070,1,北海道,1,高岡レディースケアクリニック,064-0811,札幌市中央区南11条西13丁目2番3号,"月・火・金10：00～14：0016：00～20： 00
水9：00～12：00
土10：00～14：0016：00～19：00日10：00～14：00",011-562-2882,http://takaoka-ladiescare.jp/,,,,
,medical-institution,publish,77700071,1,北海道,1,札幌マタニティ・ウィメンズＪ Ｒタワークリニック,060-8503,札幌市中央区北5条西2丁目5番地JRタワーオフィスプラザ札幌8F,"月9：00～12：3014：30～16：30
水（完全予約制）9：00～12：30／14：30～16：30
火・木・金9：00～12：30／14：30～18： 00
土（完全予約制）9：00～12：00",011-209-5350,https://www.smwh.or.jp/,,,,
,medical-institution,publish,77700072,1,北海道,1,医療法人明日葉会札幌マタニティ・ウイメンズ南一条クリニック,060-0061,札幌市中央区南1条西6丁目第27桂和ビル4F,"月・水・木・金9：30～13：00／14：30～ 18：00
火・土9：30～13：00",011-208-1880,,,,,
,medical-institution,publish,77700073,1,北海道,1,"社会医療法人社団カレスサッポロ時計台記念クリ
ニック",060-0031,札幌市中央区北1条東1丁目2番3号,9：00～17：00,011-251-2221,https://www.tokeidaihosp.or.jp/,,,,
,medical-institution,publish,77700074,1,北海道,1,中央メディカルクリニック,060-0042,札幌市中央区大通西5丁目11大五ビル1階,平日9：30～17：00土日9：30～15：00,011-222-0120,,,,,
,medical-institution,publish,77700075,1,北海道,1,田畑産婦人科,064-0805,札幌市中央区南5条西2丁目6,"月～金９：００～１７：００
土日祝９：００～１２：００
月水金１７：３０～１９：００受付は１５分前にはお済ませください",011-531-7770,http://www.tabata-sanfujinka.com/index.html,△,△,,
,medical-institution,publish,77700076,1,北海道,1,ウィミンズクリニック札幌,060-0807,"札幌市北区北7条西5丁目8番地1北7条ヨシヤビル
5階",平日9：00～13：30／14：30～17：00,011-738-7877,http://www.w-clinic-sapporo.or.jp/,,,,
,medical-institution,publish,77700077,1,北海道,1,リズミック産婦人科クリニック,001-0022,札幌市北区北22条西5丁目1番32号ボアソルテ N222F,"平日（月・火・木・金）9：00～13： 00／14：30～18：30
水・土9：00～12：00",011-700-0505,,,,,
,medical-institution,publish,77700078,1,北海道,1,医療法人社団ちぇりこ会麻生レディースクリニック,001-0040,札幌市北区北40条西4丁目2番20号麻生むらもとビル2階,"月・火・水・土・日・祝日10：00～13：10
金10：00～13：10／14：30～16：10（木曜休診）",011-747-8688,http://www.asabu-clinic.com/,,,,
,medical-institution,publish,77700079,1,北海道,1,札幌駅前アップルレディースクリニック,060-0808,札幌市北区北8条西3丁目28札幌エルプラザ6階,月・火・木・金９：００〜１２：００／１５：００〜１８：３０,011-736-8222,www.alc8.com,,,,
,medical-institution,publish,77700080,1,北海道,1,医療法人社団モアナエムズレディースクリニック,060-0807,札幌市北区北7条西5丁目7-1札幌北スカイビル5階,"平日10：00～13：30／15：00～17：30
土9：00～13：00",011-738-7777,https://www.ms-ladiesclinic.com,,,,
,medical-institution,publish,77700081,1,北海道,1,医療法人社団こんの産婦人科,065-0012,札幌市東区北12条東15丁目5番18号,"平日（水・木・金・土）8：30～14：00
夜間（水・金）17：00～20：00",011-742-8228,http://konno-doc.com/,,,,
,medical-institution,publish,77700082,1,北海道,1,医療法人社団豊生会伏古レディースクリニック,007-0868,札幌市東区伏古8条3丁目6番20号,平日9：00～17：00土9：00～12：00,011-780-1103,https://fushiko-ladies.com/,,,,
,medical-institution,publish,77700083,1,北海道,1,栄町レディースクリニック,007-0842,札幌市東区北42条東16丁目1-1N42メディカルビル2階,"月・火・木・金9：00～12：00、14：00～ 17：00
水・土9：00～12：00",011-783-1111,https://www.sakaemachilc.com/,,,,
,medical-institution,publish,77700084,1,北海道,1,苗穂レディスクリニック,065-0042,札幌市東区本町2条5丁目2番4号,"月・火9：00～12：00
水・木・金9：00～12：00、14：00～17： 00
土9：00～12：00",011-781-1955,https://www.naeboladies.jp/,,,,
,medical-institution,publish,77700085,1,北海道,1,医療法人社団EVEウィミンズクリニック,003-0022,札幌市白石区南郷通21丁目南5-41,"月水金9：00-12：00
予約制13:30- 16:30
予約制17:00-19:00
火9：00-12：00
予約制13:30-16:30
予約制
土9:00-12:00予約制",011-866-0808,https://eveclinic.jp,,,,
,medical-institution,publish,77700086,1,北海道,1,はしもとクリニック,004-0052,札幌市厚別区厚別中央2条1丁目4-15,月・火・水・金9：00～13：0015：00～ 19：00土9：00～12：00,011-891-2633,,,,,
,medical-institution,publish,77700087,1,北海道,1,医療法人社団青葉産婦人科クリニック,004-0021,札幌市厚別区青葉町6丁目1番9号,"月・火・水・木・金8：30～17：00月・木18：00～19：00
土8：30～12：30",011-893-3207,,,,,
,medical-institution,publish,77700088,1,北海道,1,医療法人福住産科婦人科クリニック,062-0043,札幌市豊平区福住3条1丁目2番24号,月・木8：45～18：45火・金8：45～16： 45水・土8：45～11：45,011-836-1188,http://www.fukuzumi-c.com,,,,
,medical-institution,publish,77700089,1,北海道,1,医療法人社団いちご会美加レディースクリニック,062-0933,札幌市豊平区平岸3条13丁目5番21号,"月・水・金8：30～13：0014：30～17： 30（※）17：30～19：00
火・木8：30～13：00（木曜～12：30まで）
土（※）8：30～13：00
（※）予約制",011-833-7773,https://www.mikalady.jp,,,,
,medical-institution,publish,77700090,1,北海道,1,医療法人社団新芽会美園産婦人科小児科,062-0004,札幌市豊平区美園4条3丁目2番19号,月・火・水・金9：00～17：00木・土9：00～12：00,011-824-0303,http://misono-hp.com/,,,,
,medical-institution,publish,77700091,1,北海道,1,神田産科婦人科クリニック,062-0903,札幌市豊平区豊平3条1丁目1-33,"月・火・水・金9：00～12：0013：30～ 17：00
木・土9：00～12：00",011-841-1103,kanda-sanfujinka-clinic.com,,,,
,medical-institution,publish,77700092,1,北海道,1,産科・婦人科札幌みらいクリニック,004-0871,札幌市清田区平岡1条5丁目3番8号,平日9：00～12：0014：00～19：00土・日・祝9：00～12：00,011-885-1100,https://sapporo-mirai.jp/,△,△,,
,medical-institution,publish,77700093,1,北海道,1,医療法人礼風会五輪橋マタニティクリニック,005-0039,札幌市南区南39条西11丁目1番30号,月・火・水・金曜8:30-16:30木・土曜8:30-11:30,011-585-3110,https://gorin.or.jp/,,,,
,medical-institution,publish,77700094,1,北海道,1,ペルル女性クリニック,063-0803,札幌市西区二十四軒3条1丁目1-18,"月・水・金9:00-12:00／14:00-18:00、
火 9:00-12:00／14:00-17:00
木・土9:00-12:00",011-624-7031,https://perle-ladies.com,,,,
,medical-institution,publish,77700095,1,北海道,1,医療法人社団カワカミウィメンズクリニック,063-0865,札幌市西区八軒5条東1丁目6番19号,月・火・水・金9：30～16：30土9：30～ 12：00,011-641-6507,,,,,
,medical-institution,publish,77700096,1,北海道,1,医療法人社団ともこレディースクリニック,063-0812,札幌市西区琴似2条1丁目1-20琴似タワープラザ2F,"月・火・木・金9：30-12：30／14：00- 18：00
水・土9：30-12：30",011-641-8181,http://www.tomoko-ladies.dr-clinic.jp,,,,
,medical-institution,publish,77700097,1,北海道,1,医療法人社団札幌西レディースクリニック,063-0061,札幌市西区西町北11丁目1番5号,"月・火・木・金9：00～12：00、14：00～ 19：00
水9：00～12：00、14：00～17：00土9：00～12：00
日・祝・夏季・年末年始休診",011-661-3535,www.nishiladies.com,,,,
,medical-institution,publish,77700098,1,北海道,1,さくらレディースクリニック,006-0012,札幌市手稲区富丘2条7丁目6-15,平日9：00～18：00土9：00～12：30,011-695-8118,,,,,
,medical-institution,publish,77700099,1,北海道,1,医療法人はだ産婦人科クリニック,006-0022,札幌市手稲区手稲本町2条5丁目3-12,平日（月・火・木・金）9：00～17：00土・水9：00～12：00,011-685-1103,https://www.hadasan.com/,,,,
,medical-institution,publish,77700100,1,北海道,1,医療法人育愛会愛産婦人科,006-0004,札幌市手稲区西宮の沢4条2丁目1番1号,"平日・土・日
午前9：00～12：00（受付8：45～11： 30）
午後13：30～17：00（受付13：30～ 16：30）
※祝日は午前診療のみ",011-676-1166,http://www.ai-maternity.com/,◯,△,,
,medical-institution,publish,77700101,1,北海道,1,医療法人社団手稲あけぼのレディースクリニック,006-0836,札幌市手稲区曙6条2丁目2番10号,"月・火・木・金9：00-11：0013：00-17： 00
水・土・日9：00-11：00
祝日他：休",011-695-4103,http://www.teine-alc.jp,△,,,
,medical-institution,publish,77700102,1,北海道,1,医療法人社団真愛会札幌ファミリークリニック,006-0852,札幌市手稲区星置2条4丁目2番22号,月・火・土9：00～15：00水・金9：00～19：00,011-695-5211,http://www.family-clinic.net/,,,,
,medical-institution,publish,77700103,1,北海道,1,医療法人社団弘和会森産科婦人科病院,070-0037,旭川市7条通7丁目左2号,平日9：00～18：00土曜9：00～12：30,0166-22-6125,http://www.mori-hosp.jp,,,,
,medical-institution,publish,77700104,1,北海道,1,医療法人社団利信会上村産科婦人科医院,071-8121,旭川市末広東1条3丁目1番5号,平日9：00～17：00水・土9：00～12：00,0166-53-1551,http://www.kamimura-clinic.com,,,,
,medical-institution,publish,77700105,1,北海道,1,医療法人社団せせらぎ通りクリニック,079-8416,旭川市永山6条11丁目78番地,"月・火・水・金8：30～12：00，13：30～ 17：00
木・土8：30～12：00",0166-47-7321,http://www.seseragidoriclinic/com,,,,
,medical-institution,publish,77700106,1,北海道,1,医療法人社団豊和会豊岡産科婦人科医院,078-8234,旭川市豊岡4条1丁目1番10号,"月・木9：00～19：00
火・水・金9：00～17：00土9：00～12：00",0166-31-6801,,,,,
,medical-institution,publish,77700107,1,北海道,1,医療法人社団並木通りクリニック,070-0873,旭川市春光3条7丁目7番1号,月・火・水・金9：00～19：00木・土9：00～12：00,0166-59-7390,,,,,
,medical-institution,publish,77700108,1,北海道,1,医療法人社団みずうち産科婦人科,078-8234,旭川市豊岡4条3丁目2番地3,月・木9：00～12：30，15：00～18：30火・金9：00～12：30，15：00～18：00土9：00～12：30,0166-31-6713,https://mizuuchi.or.jp,,,,
,medical-institution,publish,77700109,1,北海道,1,旭川レディースクリニック,070-0033,旭川市3条通2丁目429-683十字屋ビル2F,"月・火・水・金9：00～13：00，14：30～ 18：00
木・第１土，第３土，第５土9：00～
11：30",0166-25-3110,,,,,
,medical-institution,publish,77700110,1,北海道,1,医療法人社団健和会和田産婦人科医院,070-0034,旭川市4条通15丁目右8号,"月・火・水・金9：00～12：00，14：00～ 17：30
木・土9：00～12：00",0166-23-3521,http://potato.hokkai.net/~wada/,,,,
,medical-institution,publish,77700111,1,北海道,1,小樽市立病院,047-8550,小樽市若松1丁目1番1号,"平日8:00～17:00
※平日も来院前に必ず事前連絡が必要。
※土・日は事前連絡にて確認必要、医師対応可能時のみ。",0134-25-1211,https://www.otaru-general-hospital.j,,,,
,medical-institution,publish,77700112,1,北海道,1,"医療法人社団
新開レディースクリニック",047-0032,小樽市稲穂2丁目9番11号ツルハビル3F,"月･火･水･金曜9:00～12:00、14:00～ 18:00
第1、3、5土曜9:00～13:00",0134-24-6800,http://www/shinkai-lc.com/,,,,
