"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","website","available_date"
"77700065","吉尾産婦人科","064-0808","北海道","札幌市中央区","札幌市中央区南8条西3丁目1-7","01101","011-511-5564","http://www.myclinic.ne.jp/yoshio/","月水金９：００～１９：００火土９：００
～１５：００日９：００～１２：００"
"77700066","医療法人社団草薙レディースクリニック","060-0002","北海道","札幌市中央区","札幌市中央区北2条西1丁目マルイト札幌ビル2階","01101","011-222-9372","http://www.klc-kusanagi.sakura.ne.jp/","月・火・木・金10：00～13：0015：00～ 18：00
水・土10：00～13：00
（第１・第３水曜日休診）"
"77700067","林レディースクリニック","060-0062","北海道","札幌市中央区","札幌市中央区南2条西3丁目","01101","011-206-3050","","水曜以外の平日10：00～13：0015： 00～17：30
水12：00～17：30土10：00～13：00完全予約制"
"77700068","医療法人礼風会札幌ル・トロワビューティクリニックＶｏ ｇｕｅ","060-0042","北海道","札幌市中央区","札幌市中央区大通西1丁目13番地ル・トロワ6階","01101","0120-174-871","https://slbc-vogue.jp/","11：00～20：00無休、完全予約制"
"77700069","響きの杜クリニック","064-0802","北海道","札幌市中央区","札幌市中央区南2条西27丁目1番9号","01101","011-632-8331","https://hibikinomori.org/","平日9：00～17：30土曜9：00～12：30"
"77700070","高岡レディースケアクリニック","064-0811","北海道","札幌市中央区","札幌市中央区南11条西13丁目2番3号","01101","011-562-2882","http://takaoka-ladiescare.jp/","月・火・金10：00～14：0016：00～20： 00
水9：00～12：00
土10：00～14：0016：00～19：00日10：00～14：00"
"77700071","札幌マタニティ・ウィメンズＪ Ｒタワークリニック","060-8503","北海道","札幌市中央区","札幌市中央区北5条西2丁目5番地JRタワーオフィスプラザ札幌8F","01101","011-209-5350","https://www.smwh.or.jp/","月9：00～12：3014：30～16：30
水（完全予約制）9：00～12：30／14：30～16：30
火・木・金9：00～12：30／14：30～18： 00
土（完全予約制）9：00～12：00"
"77700072","医療法人明日葉会札幌マタニティ・ウイメンズ南一条クリニック","060-0061","北海道","札幌市中央区","札幌市中央区南1条西6丁目第27桂和ビル4F","01101","011-208-1880","","月・水・木・金9：30～13：00／14：30～ 18：00
火・土9：30～13：00"
"77700073","社会医療法人社団カレスサッポロ時計台記念クリニック","060-0031","北海道","札幌市中央区","札幌市中央区北1条東1丁目2番3号","01101","011-251-2221","https://www.tokeidaihosp.or.jp/","9：00～17：00"
"77700074","中央メディカルクリニック","060-0042","北海道","札幌市中央区","札幌市中央区大通西5丁目11大五ビル1階","01101","011-222-0120","","平日9：30～17：00土日9：30～15：00"
"77700075","田畑産婦人科","064-0805","北海道","札幌市中央区","札幌市中央区南5条西2丁目6","01101","011-531-7770","http://www.tabata-sanfujinka.com/index.html","月～金９：００～１７：００
土日祝９：００～１２：００
月水金１７：３０～１９：００受付は１５分前にはお済ませください"
"77700076","ウィミンズクリニック札幌","060-0807","北海道","札幌市北区","札幌市北区北7条西5丁目8番地1北7条ヨシヤビル
5階","01102","011-738-7877","http://www.w-clinic-sapporo.or.jp/","平日9：00～13：30／14：30～17：00"
"77700077","リズミック産婦人科クリニック","001-0022","北海道","札幌市北区","札幌市北区北22条西5丁目1番32号ボアソルテ N222F","01102","011-700-0505","","平日（月・火・木・金）9：00～13： 00／14：30～18：30
水・土9：00～12：00"
"77700078","医療法人社団ちぇりこ会麻生レディースクリニック","001-0040","北海道","札幌市北区","札幌市北区北40条西4丁目2番20号麻生むらもとビル2階","01102","011-747-8688","http://www.asabu-clinic.com/","月・火・水・土・日・祝日10：00～13：10
金10：00～13：10／14：30～16：10（木曜休診）"
"77700079","札幌駅前アップルレディースクリニック","060-0808","北海道","札幌市北区","札幌市北区北8条西3丁目28札幌エルプラザ6階","01102","011-736-8222","www.alc8.com","月・火・木・金９：００〜１２：００／１５：００〜１８：３０"
"77700080","医療法人社団モアナエムズレディースクリニック","060-0807","北海道","札幌市北区","札幌市北区北7条西5丁目7-1札幌北スカイビル5階","01102","011-738-7777","https://www.ms-ladiesclinic.com","平日10：00～13：30／15：00～17：30
土9：00～13：00"
"77700081","医療法人社団こんの産婦人科","065-0012","北海道","札幌市東区","札幌市東区北12条東15丁目5番18号","01103","011-742-8228","http://konno-doc.com/","平日（水・木・金・土）8：30～14：00
夜間（水・金）17：00～20：00"
"77700082","医療法人社団豊生会伏古レディースクリニック","007-0868","北海道","札幌市東区","札幌市東区伏古8条3丁目6番20号","01103","011-780-1103","https://fushiko-ladies.com/","平日9：00～17：00土9：00～12：00"
"77700083","栄町レディースクリニック","007-0842","北海道","札幌市東区","札幌市東区北42条東16丁目1-1N42メディカルビル2階","01103","011-783-1111","https://www.sakaemachilc.com/","月・火・木・金9：00～12：00、14：00～ 17：00
水・土9：00～12：00"
"77700084","苗穂レディスクリニック","065-0042","北海道","札幌市東区","札幌市東区本町2条5丁目2番4号","01103","011-781-1955","https://www.naeboladies.jp/","月・火9：00～12：00
水・木・金9：00～12：00、14：00～17： 00
土9：00～12：00"
"77700085","医療法人社団EVEウィミンズクリニック","003-0022","北海道","札幌市白石区","札幌市白石区南郷通21丁目南5-41","01104","011-866-0808","https://eveclinic.jp","月水金9：00-12：00
予約制13:30- 16:30
予約制17:00-19:00
火9：00-12：00
予約制13:30-16:30
予約制
土9:00-12:00予約制"
"77700086","はしもとクリニック","004-0052","北海道","札幌市厚別区","札幌市厚別区厚別中央2条1丁目4-15","01108","011-891-2633","","月・火・水・金9：00～13：0015：00～ 19：00土9：00～12：00"
"77700087","医療法人社団青葉産婦人科クリニック","004-0021","北海道","札幌市厚別区","札幌市厚別区青葉町6丁目1番9号","01108","011-893-3207","","月・火・水・木・金8：30～17：00月・木18：00～19：00
土8：30～12：30"
"77700088","医療法人福住産科婦人科クリニック","062-0043","北海道","札幌市豊平区","札幌市豊平区福住3条1丁目2番24号","01105","011-836-1188","http://www.fukuzumi-c.com","月・木8：45～18：45火・金8：45～16： 45水・土8：45～11：45"
"77700089","医療法人社団いちご会美加レディースクリニック","062-0933","北海道","札幌市豊平区","札幌市豊平区平岸3条13丁目5番21号","01105","011-833-7773","https://www.mikalady.jp","月・水・金8：30～13：0014：30～17： 30（※）17：30～19：00
火・木8：30～13：00（木曜～12：30まで）
土（※）8：30～13：00
（※）予約制"
"77700090","医療法人社団新芽会美園産婦人科小児科","062-0004","北海道","札幌市豊平区","札幌市豊平区美園4条3丁目2番19号","01105","011-824-0303","http://misono-hp.com/","月・火・水・金9：00～17：00木・土9：00～12：00"
"77700091","神田産科婦人科クリニック","062-0903","北海道","札幌市豊平区","札幌市豊平区豊平3条1丁目1-33","01105","011-841-1103","kanda-sanfujinka-clinic.com","月・火・水・金9：00～12：0013：30～ 17：00
木・土9：00～12：00"
"77700092","産科・婦人科札幌みらいクリニック","004-0871","北海道","札幌市清田区","札幌市清田区平岡1条5丁目3番8号","01110","011-885-1100","https://sapporo-mirai.jp/","平日9：00～12：0014：00～19：00土・日・祝9：00～12：00"
"77700093","医療法人礼風会五輪橋マタニティクリニック","005-0039","北海道","札幌市南区","札幌市南区南39条西11丁目1番30号","01106","011-585-3110","https://gorin.or.jp/","月・火・水・金曜8:30-16:30木・土曜8:30-11:30"
"77700094","ペルル女性クリニック","063-0803","北海道","札幌市西区","札幌市西区二十四軒3条1丁目1-18","01107","011-624-7031","https://perle-ladies.com","月・水・金9:00-12:00／14:00-18:00、
火 9:00-12:00／14:00-17:00
木・土9:00-12:00"
"77700095","医療法人社団カワカミウィメンズクリニック","063-0865","北海道","札幌市西区","札幌市西区八軒5条東1丁目6番19号","01107","011-641-6507","","月・火・水・金9：30～16：30土9：30～ 12：00"
"77700096","医療法人社団ともこレディースクリニック","063-0812","北海道","札幌市西区","札幌市西区琴似2条1丁目1-20琴似タワープラザ2F","01107","011-641-8181","http://www.tomoko-ladies.dr-clinic.jp","月・火・木・金9：30-12：30／14：00- 18：00
水・土9：30-12：30"
"77700097","医療法人社団札幌西レディースクリニック","063-0061","北海道","札幌市西区","札幌市西区西町北11丁目1番5号","01107","011-661-3535","www.nishiladies.com","月・火・木・金9：00～12：00、14：00～ 19：00
水9：00～12：00、14：00～17：00土9：00～12：00
日・祝・夏季・年末年始休診"
"77700098","さくらレディースクリニック","006-0012","北海道","札幌市手稲区","札幌市手稲区富丘2条7丁目6-15","01109","011-695-8118","","平日9：00～18：00土9：00～12：30"
"77700099","医療法人はだ産婦人科クリニック","006-0022","北海道","札幌市手稲区","札幌市手稲区手稲本町2条5丁目3-12","01109","011-685-1103","https://www.hadasan.com/","平日（月・火・木・金）9：00～17：00土・水9：00～12：00"
"77700100","医療法人育愛会愛産婦人科","006-0004","北海道","札幌市手稲区","札幌市手稲区西宮の沢4条2丁目1番1号","01109","011-676-1166","http://www.ai-maternity.com/","平日・土・日
午前9：00～12：00（受付8：45～11： 30）
午後13：30～17：00（受付13：30～ 16：30）
※祝日は午前診療のみ"
"77700101","医療法人社団手稲あけぼのレディースクリニック","006-0836","北海道","札幌市手稲区","札幌市手稲区曙6条2丁目2番10号","01109","011-695-4103","http://www.teine-alc.jp","月・火・木・金9：00-11：0013：00-17： 00
水・土・日9：00-11：00
祝日他：休"
"77700102","医療法人社団真愛会札幌ファミリークリニック","006-0852","北海道","札幌市手稲区","札幌市手稲区星置2条4丁目2番22号","01109","011-695-5211","http://www.family-clinic.net/","月・火・土9：00～15：00水・金9：00～19：00"
"77700103","医療法人社団弘和会森産科婦人科病院","070-0037","北海道","旭川市","旭川市7条通7丁目左2号","01204","0166-22-6125","http://www.mori-hosp.jp","平日9：00～18：00土曜9：00～12：30"
"77700104","医療法人社団利信会上村産科婦人科医院","071-8121","北海道","旭川市","旭川市末広東1条3丁目1番5号","01204","0166-53-1551","http://www.kamimura-clinic.com","平日9：00～17：00水・土9：00～12：00"
"77700105","医療法人社団せせらぎ通りクリニック","079-8416","北海道","旭川市","旭川市永山6条11丁目78番地","01204","0166-47-7321","http://www.seseragidoriclinic/com","月・火・水・金8：30～12：00，13：30～ 17：00
木・土8：30～12：00"
"77700106","医療法人社団豊和会豊岡産科婦人科医院","078-8234","北海道","旭川市","旭川市豊岡4条1丁目1番10号","01204","0166-31-6801","","月・木9：00～19：00
火・水・金9：00～17：00土9：00～12：00"
"77700107","医療法人社団並木通りクリニック","070-0873","北海道","旭川市","旭川市春光3条7丁目7番1号","01204","0166-59-7390","","月・火・水・金9：00～19：00木・土9：00～12：00"
"77700108","医療法人社団みずうち産科婦人科","078-8234","北海道","旭川市","旭川市豊岡4条3丁目2番地3","01204","0166-31-6713","https://mizuuchi.or.jp","月・木9：00～12：30，15：00～18：30火・金9：00～12：30，15：00～18：00土9：00～12：30"
"77700109","旭川レディースクリニック","070-0033","北海道","旭川市","旭川市3条通2丁目429-683十字屋ビル2F","01204","0166-25-3110","","月・火・水・金9：00～13：00，14：30～ 18：00
木・第１土，第３土，第５土9：00～
11：30"
"77700110","医療法人社団健和会和田産婦人科医院","070-0034","北海道","旭川市","旭川市4条通15丁目右8号","01204","0166-23-3521","http://potato.hokkai.net/~wada/","月・火・水・金9：00～12：00，14：00～ 17：30
木・土9：00～12：00"
"77700111","小樽市立病院","047-8550","北海道","小樽市","小樽市若松1丁目1番1号","01203","0134-25-1211","https://www.otaru-general-hospital.j","平日8:00～17:00
※平日も来院前に必ず事前連絡が必要。
※土・日は事前連絡にて確認必要、医師対応可能時のみ。"
"77700112","医療法人社団新開レディースクリニック","047-0032","北海道","小樽市","小樽市稲穂2丁目9番11号ツルハビル3F","01203","0134-24-6800","http://www/shinkai-lc.com/","月･火･水･金曜9:00～12:00、14:00～ 18:00
第1、3、5土曜9:00～13:00"
"77700113","おたるレディースクリニック","047-0032","北海道","小樽市","小樽市稲穂4丁目1番7号","01203","0134-25-0303","www.otaru-ladies.com","月･木9:00～12:00、14:00～17:00火･金9:00～12:00、14:00～19:00水9:00～12:00
土9:00～14:00"
"77700114","函館中央病院","040-8585","北海道","函館市","函館市本町33番2号","01202","0138-52-1231","http://www.chubyou.com/","平日  9:00~17:00  土曜  9:00~13:00"
"77700115","秋山記念病院","041-0802","北海道","函館市","函館市石川町41番地9","01202","0138-46-6660","http://akiyama.hakodate.jp/","平日9:00-17:30土9:00-13:30日祝 9:30-11:30"
"77700116","市立函館病院","041-8680","北海道","函館市","函館市港町1丁目10番1号","01202","0138-43-2000","http://www.hospital.hakodate.hokkaido.jp","平日8:30-11:30"
"77700117","共愛会病院","040-8577","北海道","函館市","函館市中島町7番21号","01202","0138-51-2111","http://www.kyoaikai-hosp.com/","平日9:00-11:30/13:00-16:00土9:00-11:30"
"77700118","岡和田産婦人科医院","040-0072","北海道","函館市","函館市亀田町20番14号","01202","0138-42-5588","","月火木金9:00-16:30水土9:00- 11:30"
"77700119","三浦レディースクリニック","040-0011","北海道","函館市","函館市本町20番1号","01202","0138-51-2357","","月火木金9:00-12:00/14:00-17:30
水土9:00-12:00"
"77700120","医療法人社団藤松産婦人科医院","041-0852","北海道","函館市","函館市鍛治2丁目24番5号","01202","0138-55-2280","","月火金9:00-12:00/14:00-17:00
水 9:00-12:00/14:00-18:00
木土9:00-12:00"
"77700121","医療法人社団陵仁会えんどう桔梗マタニティークリニック","041-0808","北海道","函館市","函館市桔梗5丁目7番15号","01202","0138-47-3001","http://www.endo-kikyo.or.jp","365日24時間"
"77700122","医療法人社団産科婦人科白鳥クリニック","040-0082","北海道","函館市","函館市白鳥町13番18号","01202","0138-44-5588","http://www1.ncv.ne.jp/~swan5588/","月火木金9:00-12:00/14:00-17:45
水8:00-11:30午後休診土9:00- 12:00午後休診"
