"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","website","openinghours"
,"医療法人社団レニア会 篠宮正明記念アルテミスウイメンズホスピタル","203-0054","東京都","東久留米市","東久留米市中央町1-1-20","13222","042-472-6111","http://www.artemis.tokyo/","月・火・水・金 9:00-12:00 14:00-17:00木・土  9:00-12:00"
,"一般財団法人健康医学協会附属 霞が関ビル診療所","100-6003","東京都","千代田区","千代田区霞が関3-2-5 霞が関ビル3F","13101","03-3581-6031","http://www.kenkoigaku.or.jp","平日 9:00-12:00 14:00-16:30"
,"医療法人社団コンシューマメディカル 四ッ谷レディスクリニック","102-0083","東京都","千代田区","千代田区麹町6-4-14 堤ビル2F","13101","03-3234-5343","http://:yotsuya-lc.com","平日・土 10:00-13:00 15:00-18:30"
,"医療法人社団ILC会 一番町レディースクリニック","102-0082","東京都","千代田区","千代田区一番町4-26 相模屋第5ビル2F","13101","03-3261-2255","https://www.1-ilc.com/","月 10:00-13:00 16:00-18:30火・水・金 9:30-13:00 16:00-18:30木 16:00-18:30 土 10:00-13:00"
,"紀尾井町レディースクリニック","102-0094","東京都","千代田区","千代田区紀尾井町3-29 紀尾井ロイヤルハイツ204","13101","03-6666-5505","http://www.kioicho-lc.jp/","月・火・水・木 9:30-13:30 16:00-20:0金  9:30-13:30 16:00-20:00(12月から)土 10:30-13:30"
,"丸の内の森 レディースクリニック","100-6509","東京都","千代田区","東京都千代田区丸の内1-5-1 新丸の内ビルディング9F","13101","03-6206-3900","https://www.moricli.jp/","平日 9:00-15:30"
,"S.T style クリニック","102-0083","東京都","千代田区","千代田区麹町4-6-8 ダイニチ麹町ビル3F","13101","03-6261-7405","https://ststyle-clinic.jp","月・火・水・金・土 10:00-19:00"
,"有楽町ビル婦人科クリニック","100-0006","東京都","千代田区","千代田区有楽町1-10-1 有楽町ビル4Fー414区","13101","03-3214-2568","","月・火・木・金 11:00-13:00 14:00-18:00"
,"あゆみクリニック","101-0052","東京都","千代田区","千代田区神田小川町1-10-3 保坂ビル7F","13101","03-5577-5253","https://www.ayumiclinic.com","月・火・木 11:30-14:00 17:00-20:00土  11:30-14:00"
,"医療法人社団授生会 杉村レディースクリニック","102-0076","東京都","千代田区","千代田区五番町2 横山ビルB1F","13101","03-3264-8686","https://www.ivf-baby.org","平日 8:30-19:00 土 8:30-13:00"
,"医療法人財団健貢会 東京クリニック","100-0004","東京都","千代田区","千代田区大手町2-2-1 新大手町ビル1F・地下1F・地下2F","13101","03-3516-7151","http://www.tokyo-cl.com","月・木・金 11:00-12:00 15:00-16:30火 11:00-12:0014:00-16:30水 11:30-12:00 15:30-16:30 土 11:30-12:00"
,"霞ヶ関土居美佐クリニック","100-0011","東京都","千代田区","千代田区内幸町2-2-1 日本プレスセンタービルB1","13101","03-3519-5079","http://doimisa-clinic.com/","月・火・木・金・第4水 10:30-13:0015:00-18:30第1・2・3        15:00-18:30"
,"前田医院","104-0045","東京都","中央区","中央区築地1-3-6","13102","03-3541-0396","","月・火・水・金 9:30-13:00 15:00-18:00土  9:30-13:00"
,"医療法人社団進興会 東京ダイヤビルクリニック","104-0033","東京都","中央区","中央区新川1-28-25 東京ダイヤビルディング3号館-1F","13102","03-3551-7737","https://www.daiya-clinic.jp/","月 14:00-17:00木 9:00-12:30 初診の方12:30"
,"医療法人社団春音会 はるねクリニック銀座","104-0061","東京都","中央区","中央区銀座1-5-8 ギンザウィローアベニュービルディング6F","13102","03-5250-6850","http://www.haruneclinic.com/","月・火・水・金 9:30-17:00土 9:30-14:00  木 12:00-19:00"
,"医療法人社団 銀座レディースクリニック","104-0061","東京都","中央区","中央区銀座4-6-11 銀座センタービル6F","13102","03-3535-1117","http://www.ginzaladies.com","月・火・水・金 9:00-18:00木・土      9:00-12:30"
,"勝どきウィメンズクリニック","104-0054","東京都","中央区","中央区勝どき2-10-4宮野海運ビル4F","13102","03-3536-7723","http://www.kachidoki-women.com/","平日 8:45-12:30 14:45-17:30土 8:45-12:30"
,"安江レディースクリニック","103-0024","東京都","中央区","中央区日本橋小舟町15-15 ルネ小舟町ビル4F","13102","03-3667-0085","http://www.yasuelc.com","月・火・木・金 10:00-13:00 15:00-17:30水 10:00-13:00"
,"医療法人三秀会 八重洲中央クリニック","103-0027","東京都","中央区","中央区日本橋3-1-2 NTA日本橋ビル9F","13102","03-3270-1121","http://www.centralclinic.or.jp","月・火・水 10:00-12:00 14:30-18:00木・金・土 10:00-12:00 14:30-17:00"
,"医療法人社団わかと会 リバーシティクリニック東京","104-0051","東京都","中央区","中央区佃1-11-8 ピアウエストスクエア2F","13102","03-6219-5100","https://rivercity-clinic.jp/","火・水・木  9:30-17:00"
,"医療法人社団新宿レディースクリニック会 東京レディースクリニック","104-0031","東京都","中央区","中央区京橋1-1-5 セントラルビル5F","13102","03-3342-1971","https://www.tokyo-ladies.jp/","平日・土・日・祝 9:30-19:00"
,"医療法人鉄蕉会 亀田京橋クリニック","104-0031","東京都","中央区","中央区京橋3-1-1 東京スクエアガーデンビル4階・6階","13102","03-3527-9100","http://www.kameda-kyobashi.com/ja/index.html","平日 9:00-13:30 14:00-18:30土  10:30-13:30 15:00-17:00"
,"医療法人社団菫青会 茅場町いとう医院","103-0025","東京都","中央区","中央区日本橋茅場町1-13-15 新居ビル3階","13102","03-6667-0198","www.kayabacho-itoiin.jp","平日 10:00-13:30 15:30-18:00ウェブサイトより予約可"
,"医療法人社団 楠原ウィメンズクリニック","104-0061","東京都","中央区","中央区銀座5-6-2 銀座七宝ビル6F","13102","03-6274-6433","https://www.kusuhara-womens.jp/","月・火・水・金 9:00-13:00 15:00-18:30木・土  9:00-13:00"
,"KISHI CLINICA FEMINA","104-0061","東京都","中央区","中央区銀座8-5-6 並木通り 中島商事ビル5階","13102","03-5537-7171","www.kishiclinicafemina.jp","月・火・木・金 18:30-22:00水・土 14:00-17:30 18:30-22:00日・祝 9:30-13:00 14:00-17:30 18:30-22:00"
,"銀座吉田医院","104-0061","東京都","中央区","中央区銀座2-4-8 GINZA YUKI BLD.8F・9F","13102","03-3561-5537","http://www.yoshida-iin.com/","月・火・木・金 10:00-13:00 15:00-18:00第2・4 土 10:00-13:00    完全予約制"
,"こやまレディースクリニック","104-0054","東京都","中央区","中央区勝どき3-3-6 勝どき田窪ビル2F","13102","03-5859-5975","http://koyama-lc.com/","平日 9:30-12:30 14:30-18:30土   9:00-13:30 14:30-17:00"
,"銀座こうのとりレディースクリニック","104-0061","東京都","中央区","中央区銀座1-3-9 マルイト銀座ビル7F","13102","03-5159-2077","https://ginzakounotori.com/","月・火・木・金 10:00-12:00土 11:00-13:00"
,"医療法人舘出張 佐藤会フィーカ レディースクリニック","103-0027","東京都","中央区","中央区日本橋2-5-1 日本橋高島屋三井ビルディング10F 1001号室","13102","03-6910-3977","http://fika-lc.jp/","月 8:30-19:00 水 8:30-17:00火・木・金 9:30-19:00"
,"EASE女性のクリニック","104-0042","東京都","中央区","中央区入船1-1-24 ドルフィンKOTO入船ビル5F","13102","03-3206-1112","https://ease-clinic.jp","月・火・木・金 9:00-18:30水 9:00-13:30 土 9:00-14:00"
,"医療法人社団 銀座ウィメンズクリニック","104-0061","東京都","中央区","中央区銀座6-12-13 大東銀座ビル4F","13102","03-5537-7600","http://www008.upp.so-net.ne.jp/ivfginza/","月・火・水・金 9:00-13:30 15:00-18:30土 9:00-13:30"
,"慈恵医大晴海トリトンクリニック","104-0053","東京都","中央区","中央区晴海1-8-8 晴海アイランドトリトンスクエアオフィスタワーW3F","13102","03-3531-3211","http://www.hosp.jikei.ac.jp/harumi","火・金 9:00-11:30水 9:00-11:30 14:00-17:30"
,"医療法人社団央美会 銀座すずらん通りレディスクリニック","104-0061","東京都","中央区","中央区銀座6-9-7 近畿建物銀座ビル8F","13102","03-3569-7711","http://huninsho.com/","月・火・木・金・土 10:00-18:00"
,"アイル女性クリニック","104-0052","東京都","中央区","中央区月島1-8-1 アイマークタワー203","13102","03-3534-0803","http://i-ll-clinic.com","月・火・木・金 9:30-16:00土        9:30-11:00"
,"医療法人社団すずらん せいこレディースクリニック銀座","104-0061","東京都","中央区","中央区銀座7-2-4 ムサシ7ビル4F","13102","03-5568-3128","https://www.seikoginza.com/","平日 9:30-20:00 土・日・祝 9:30-15:00"
,"医療法人社団ウィミンズ・ウェルネス 対馬ルリ子女性ライフクリニック銀座","104-0061","東京都","中央区","中央区銀座2-6-5 銀座トレシャス7F","13102","03-3538-0270","http://w-wellness.com/","月:10:00~18:00火~土:10:00~17:30日曜祝日は休診"
,"東日本橋レディースクリニック","103-0011","東京都","中央区","中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町4階","13102","03-6661-6658","https://higashinihonbashi-lc.com/","月・水・金 10:00-20:00火・木  10:00-17:00"
,"医療法人社団康寿会 堀産婦人科","108-0074","東京都","港区","港区高輪3-7-8","13103","03-3449-3541","https://www.hori3541.or.jp","平日 9:00-12:30 16:00-18:30土   9:00-13:00"
,"医療法人社団健勝会 港三田クリニック","108-0014","東京都","港区","港区芝5-16-1 千代ビル3階","13103","03-3456-3391","https://www.minatomitaclinic.net","月・火・水・金 10:00-12:30 14:00-17:30土  10:00-12:30"
,"医療法人社団 神田第二クリニック","106-0031","東京都","港区","港区西麻布3-20-14 梅田ビル2F","13103","03-3402-0654","http://kanda2nd.com","平日 9:00-12:30 14:00-16:30土・日・祝 休診"
,"中井診療所","107-0061","東京都","港区","港区北青山3-3-7-102","13103","03-3401-2055","","平日 8:00-12:00"
,"広尾かなもりクリニック","106-0047","東京都","港区","港区南麻布5-10-24 第2佐野ビル4F","13103","03-6408-0652","http://kanamori-clinic.com/","月 14:00-19:30火・水 9:00-17:00"
,"泉ウィメンズクリニック","107-0062","東京都","港区","港区南青山5-4-3 南青山泉ビル3F","13103","03-3400-1213","http://izumi-womenns.jp/","平日 9:00-17:40土   9:00-12:40"
,"ピンクリボン ブレストケアクリニック 表参道","107-0061","東京都","港区","港区北青山3-6-19 バイナリー北青山2F","13103","03-3407-7373","http://pinkribbon-brestcure.com/","月・火・水・金 10:00-19:00木・土      9:30-17:30"
,"白金高輪海老根ウィメンズクリニック","108-0074","東京都","港区","港区高輪1-2-17 高輪梶ビル5F","13103","03-5789-2590","http://ebine-womena-clinic.com","平日 8:30-19:00土・日・祝 8:30-17:00"
,"医療法人社団清陵会 丸茂レディースクリニック","106-6004","東京都","港区","港区六本木1-6-1 泉ガーデンタワー4F","13103","03-5575-5778","http://www.marumo-ladies.jp","月・火・水・金 10:00-13:00 15:00-18:00土 10:00-13:00 15:00-17:00"
,"美馬レディースクリニック","107-0052","東京都","港区","港区赤坂3-13-13 中村ビル4F","13103","03-6277-7397","http://www.mima-ladies.com/","月・火・水・金 10:00-19:00土      10:00-14:00"
,"お台場海浜公園 虹橋クリニック","135-0091","東京都","港区","港区台場2-2-4 台場クリニックモール2F","13103","03-3529-2284","","平日 10:00-13:30 15:00-17:00土   10:00-13:00"
,"医療法人社団オリーブ会オリーブレディースクリニック麻布十番","106-0045","東京都","港区","港区麻布十番1-5-18 カートブラン麻布十番3F","13103","03-6804-3208","http://oliveladies.com/azabu/","平日 9:00-18:00 土・日 9:00-16:00"
,"社会福祉法人恩賜財団母子愛育会総合母子保健センター 愛育クリニック","106-8580","東京都","港区","港区南麻布5-6-8","13103","03-3473-8310","http://www.aiiku.net/clinic/","平日 9:00-12:00"
,"浜松町大門レディースクリニック","105-0013","東京都","港区","港区浜松町2-2-15 浜松町ゼネラルビル8F","13103","03-6403-4105","http://www.hamadai-ladies.com","平日 11:00-20:00土   11:00-16:00"
,"高輪台レディースクリニック","108-0074","東京都","港区","港区高輪3-8-17 TK高輪ビル3F","13103","03-3441-1377","http://takanawadai-lc.com/","平日 10:00-13:00 15:00-18:00土   10:00-15:00"
,"ジェネラルクリニック","106-0032","東京都","港区","港区六本木6-1-8 六本木グリーンビル8F","13103","03-3401-0333","http://general-clinic.tokyo","平日 10:30-18:30 土 11:00-19:00(不定休)日 11:00-19:00"
,"赤坂虎の門クリニック","107-0052","東京都","港区","港区赤坂1-8-1 赤坂インターシティAIR地下1F","13103","03-3583-8080","https://akatora-clinic.com","月・火・木・金 8:30-13:00 14:00-16:30"
,"東京AMHクリニック銀座","105-0004","東京都","港区","港区新橋1-9-5 新橋M-SQUARE Bright 2F","13103","03-3573-4124","www.amh.clinic","月・火・水・木 9:00-12:00 15:00-19:00水・土・祝  9:00-12:00"
,"医療法人社団セイント会セイントメディカルクリニック","107-0062","東京都","港区","港区南青山2-4-12 南青山アサヒビル3F","13103","03-5772-6881","http://www.saint.or.jp","月・火・木・金 10:30-14:00 16:00-20:00水 16:20:00 土 10:30-14:00 完全予約制"
,"医療法人社団宗友会パークサイド広尾レディスクリニック","106-0047","東京都","港区","港区南麻布5-1-11 Qiz広尾3F","13103","03-5798-3470","http://www.ladies-clinic.or.jp/","月・火・水・金 9:30-18:00土  10:00-17:00"
,"医療法人社団ケアリージェンシー 六本木ヒルズクリニック","106-6106","東京都","港区","港区六本木6-10-1 六本木ヒルズ森タワー6階","13103","03-3796-0066","http://www.66clinic.com/","月・火・水・木 10:00-12:30 14:30-17:30金  10:00-12:30"
,"医療法人社団神徳会 芝公園かみやまクリニック","105-0014","東京都","港区","港区芝2-9-10 ダイユウビル1F","13103","03-6414-5641","s-kamiyamaclinic@jcom.home.ne.jp","月・火・金 10:00-13:00 16:00-18:30水 10:00-13:00 16:00-17:00木 16:00-18:00  土 10:00-13:00"
,"麻布十番つのだレディースクリニック","106-0045","東京都","港区","港区麻布十番2-20-7 稲川ビル4F","13103","03-5730-1115","kanja.jp/020914.html","火・水・木・金 11:00-17:00土  11:00-15:00"
,"医療法人社団 いわきたえこレディースクリニック","105-0004","東京都","港区","港区新橋1-18-19 キムラヤオオツカビル3F","13103","03-3593-6321","http://iwaki-lc.jp","月・水・木 11:00-13:30 16:00-19:30火・金・土 11:00-13:30"
,"アヴェニューウィメンズクリニック","106-0032","東京都","港区","港区六本木7-14-7 トリニティビル4F","13103","0120-766-649","https://www.aw-clinic.com","平日 11:00-20:00 日 11:00-20:00"
,"医療法人社団まなみウィメンズ 麻布十番まなみウィメンズクリニック","106-0045","東京都","港区","港区麻布十番1-5-19 ラトリエ・メモワールビル2F","13103","03-3405-0928","http://www.azabuwomens-cl.com/","月・火・木 11:00-14:00 15:00-19:00金  11:00-14:00 15:00-20:00土  10:30-15:30"
,"一般社団法人日本家族計画協会市谷クリニック","162-0843","東京都","新宿区","新宿区市谷田町1-10 保健会舘新館","13104","03-3235-2694","","火 13:30-18:30  第2土 10:00-15:30(平日 9:00-17:00 応相談)"
,"医療法人社団柏葉会 高村医院","160-0004","東京都","新宿区","新宿区四谷3-10","13104","03-3351-3610","https://www.takamura-iin.com/","月・火・水・木・金 9:00-12:00 14:00-18:00"
,"竹下医院","169-0075","東京都","新宿区","新宿区高田馬場2-14-22","13104","03-3200-1281","無","月・木・金 9:00-12:00 16:00-18:00火・土    9:00-12:00"
,"かわかた医院","169-0072","東京都","新宿区","新宿区大久保2-18-16","13104","03-3200-0028","","平日 10:00-12:30 14:00-18:00土   10:00-12:30"
,"福島医院","169-0075","東京都","新宿区","新宿区高田馬場2-13-15","13104","03-3209-1301","","月・火・水・木・金 9:30-12:00"
,"林医院","169-0072","東京都","新宿区","新宿区大久保1-16-13 三和ビル3F","13104","03-3204-1203","","月・火・木・金 9:30-13:00 14:30-17:30"
,"医療法人社団ウィミンズ・ウェルネス 女性ライフクリニック新宿","160-0022","東京都","新宿区","東京都新宿区新宿3-14-1 新宿伊勢丹地下2F","13104","03-6273-1220","http://w-wellness.com/","火~日:11:00~19:00月曜は休診(月曜が祝日の場合は翌日)ご来院前にホームページやお電話でご確認ください"
,"医療法人社団白千代会貴子レディースクリニック","169-0073","東京都","新宿区","新宿区百人町1-24-2 カメリアコート新宿2F","13104","03-5386-1155","http://www.takako-ladies.com","平日 10:00-13:00 15:00-18:00土   10:00-13:00 15:00-17:30"
,"神楽坂レディースクリニック","162-0825","東京都","新宿区","新宿区神楽坂5-32 近江屋ビル4F","13104","03-5579-2198","http://kagurazaka-lady-clinic.com","月・水・金 9:30-13:00 15:00-18:00土 9:30-14:00"
,"なでしこ女性診療所","169-0075","東京都","新宿区","新宿区高田馬場1-1 メトロシティ西早稲田2F","13104","03-6233-8228","https://nadeshiko-women.com/","月・火・木・金 9:30-12:45 14:30-18:15水 9:30-12:45 土 9:30-11:45 13:00-15:45"
,"まきレディスクリニック","169-0075","東京都","新宿区","新宿区高田馬場1-28-18 和光ビル2F","13104","03-6457-6123","https://maki-lc.jp/","月・水・金 10:00-19:00木 10:00-13:30 土 10:00-17:00"
,"医療法人社団しらゆきジャスミンレディースクリニック新宿","160-0022","東京都","新宿区","新宿区新宿3-30-11 新宿高野第二ビル4F","13104","03-5315-4920","https://jlc.tokyo/","月・火・木・金・日 11:00-14:00 16:00-20:00"
,"新宿駅前さくらレディースクリニック","160-0023","東京都","新宿区","新宿区西新宿1-3-17 新宿第1アオイビル9F","13104","03-5989-0022","https://www.shinjyuku-sakura.jp/","平日 11:00-15:00 17:00-22:00土・日・祝 11:00-18:00"
,"ケイ・レディースクリニック新宿","163-0605","東京都","新宿区","新宿区西新宿1-25-1 新宿センタービル5F","13104","03-3343-9555","www.klcs.jp","月・木・金・土 11:00-12:30 14:30-18:30日  11:00-12:30 14:30-17:30"
,"医療法人社団SK医新会曙橋レディースクリニック","162-0065","東京都","新宿区","新宿区住吉町1-12 新宿曙橋ビル2F","13104","03-5919-8828","http://www.aklady.com/","平日 10:00-12:30 15:30-18:30土   10:00-12:30"
,"医療法人社団新宿レディースクリニック会 新宿レディースクリニック","163-1332","東京都","新宿区","新宿区西新宿6-5-1 新宿アイランドタワー32階","13104","03-3340-1971","https://www.1971fujinka.jp/","平日・土・日・祝 9:30-19:00"
,"近藤医院","113-0021","東京都","文京区","文京区本駒込5-60-6","13105","03-3821-1804","http://www.catnet.ne.jp/h-kondo/","月・水・木・金・土 9:00-13:00 15:00-18:30火 9:00-13:00"
,"一宮クリニック","113-0033","東京都","文京区","文京区本郷2-27-8 太陽館ビル1F","13105","03-3818-5371","www.ichimiyaclinic.com","月・火・金 9:30-18:30 水・木・土 9:30-13:00"
,"医療法人社団光樹会 白山レディースクリニック","112-0001","東京都","文京区","文京区白山5-36-9 白山麻の実ビル9F","13105","03-5689-3070","http://hakusanladies.com/","平日 9:30-13:00 14:30-18:15土  9:30-13:00"
,"サン・ヒルレディースクリニック","113-0022","東京都","文京区","文京区千駄木5-3-10-2F","13105","03-3823-8828","http://.www.sunhill-lc.net","平日 10:00-12:30 14:45-17:45土   10:00-12:30"
,"後楽園ウィメンズクリニック","113-0033","東京都","文京区","文京区本郷1-33-8 ハウス本郷ビル4F","13105","03-5689-5500","https://korakuen-womens.jp/","月・火・木・金 9:30-12:00 14:00-18:00土 9:30-13:00"
,"かみやレディースクリニック","113-0021","東京都","文京区","文京区本駒込2-10-7 濱田ビル1F","13105","03-5977-8811","https://kamiya-lc.com/","月火水金 9時30分から12時30分、15時から19時土 9時30分から12時30分、14時から17時"
,"医療法人社団誠仁メディカル 誠ウイメンズクリニック","112-0014","東京都","文京区","文京区関口1-18-6 ユニーブル江戸川橋2F","13105","03-3513-0355","http://www.sei-clinic.jp","平日 10:00-13:00 13:00-18:30土   10:00-13:30"
,"飯山医院","110-0013","東京都","台東区","台東区入谷1-7-7","13106","03-3872-7873","","月・水・木・金 9:30-12:00  15:30-17:30火 9:30-12:00 土    9:30-11:30"
,"根津・谷中レディースクリニック","110-0001","東京都","台東区","台東区谷中1-1-16","13106","03-3823-2346","http://nezuyanaka.jp/","火水金土 19時から21時"
,"医療法人社団ルーチェ会佐々木医院","111-0032","東京都","台東区","台東区浅草5-33-12","13106","03-3872-6776","http://www.sasakiiin-luce.jp","診療時間内"
,"あさくさ産婦人科クリニック","111-0035","東京都","台東区","台東区西浅草3-2-5","13106","03-3844-9236","http://www.asakusa-sanfujinka.jp","平日9:30‐13:00、15:00-18:30土曜日9:30-13:00"
,"医療法人社団新宿レディースクリニック会 上野レディースクリニック","110-0005","東京都","台東区","台東区上野2-7-13 JTB損保ジャパン日本興亜上野共同ビル2F","13106","03-5812-1971","https://www.ueno-ladies.jp/","平日・土・日・祝 9:30-19:00"
,"医療法人社団悠俊会 上野皮フ科・婦人科クリニック","110-0015","東京都","台東区","台東区東上野1-7-12 徳永ビル2F","13106","03-5842-1200","http://www.uenoderma.jp","月・火・水・金 9:30-19:00木  9:30-12:30 土  9:30-13:00"
,"相生産婦人科医院","130-0021","東京都","墨田区","墨田区緑1-7-7","13107","03-3631-0465","","木 14:00-19:00土 9:00-14:00"
