"id","name","postalcode","address_todofuken","address_shikuchoson","address","shikuchosonCode","phone","openinghours","emergency_contact","emergency_contact_phone"
"","はるはな薬局","902-0067","沖縄県","那覇市","那覇市安里３９５－２","47201","098－887-7287","月～水、金9：00～18：00木・土9：00～13：00","有","080-9851－4309"
"","すこやか薬局松島店","902-0069","沖縄県","那覇市","那覇市松島２－１－１４ NFレジデンス松島２階","47201","098-917-5093","月～金9:00～18:00土9:00～13:00","無",""
"","吉田薬局はんたがわ店","902-0071","沖縄県","那覇市","那覇市繁多川５－２３－１","47201","098-854-1155","月～金10:00～18:00","有","090-3273-8245"
"","ぐすく薬局","902-0071","沖縄県","那覇市","那覇市繁多川３－７－７","47201","098-882-3139","月～金9:00～18:00土9:00～13:00","無",""
"","りんご調剤薬局 上間店","902-0073","沖縄県","那覇市","那覇市上間336-7","47201","098-996-2697","火・水・金9：00～13：00、14：30～18：00土9：00～17：30","無",""
"","そうごう薬局 新赤十字前店","902-0076","沖縄県","那覇市","那覇市与儀1-18-18","47201","098-833-6721","月～金9：00～18：00土9：00～13：00","有","098-833-6721"
"","日本調剤 那覇中央薬局","902-0076","沖縄県","那覇市","那覇市与儀1-5-6","47201","098-833-8446","月～金9：00～18：00土9：00～13：00","有","080-2025-7794"
"","はづき薬局","902-0076","沖縄県","那覇市","那覇市与儀３６８－１８","47201","098-834-6863","月～土9:30～20:00","有","090-3795-4306"
"","薬志堂薬局寄宮店","902-0077","沖縄県","那覇市","那覇市長田１－６－１","47201","098-851-7707","月・火・木・金9:00～19:00土9:00～18:00","無",""
"","がじまる薬局","903-0103","沖縄県","西原町","西原町小那覇１６０２－１","47329","098-835-8800","月・水・金9:30～19:00火・木9:30～17:30土13:30～17:30","無",""
"","カナン薬局","903-0116","沖縄県","西原町","西原町幸地724-1","47329","098-944-2477","月～木・日9:00～18:00","無",""
"","にしばる薬局","903-0121","沖縄県","西原町","西原町内間５０８－１","47329","098-944-2222","月・水・金8:30～17:30火・木8:30～19:00土8:30～13:30","有","090-2502-5081"
"","会営薬局うえはら","903-0125","沖縄県","西原町","中頭郡西原町上原１－２６－１","47329","098-946-1185","月～金8:30～18:30","無",""
"","たいせい堂薬局 首里店","903-0804","沖縄県","那覇市","那覇市首里石嶺町2-1","47201","098-882-1414","月～土8：30～18：00","有","098-882-1414"
"","ぎぼ駅前薬局","903-0821","沖縄県","那覇市","那覇市首里儀保町1-27","47201","098-882-2150","月～金9：00～18：00土9：00～13：00","無",""
"","ゆい薬局","904-0203","沖縄県","嘉手納町","嘉手納町嘉手納261","47325","098-956-9777","月～土9：00～18：00","有","070-5277-9778"
"","すこやか薬局　よみたん店","904-0305","沖縄県","読谷村","読谷村都屋１６７－２－１","47324","098-956-1093","月・火・木・金9:00～18:00水・土9:00～12:30","無",""
"","うらしま薬局","904-0324","沖縄県","読谷村","読谷村長浜１７４３－２","47324","098-923-3101","月～金8:30～17:30土8:30～12:30","無",""
"","すこやか薬局 登川店","904-2142","沖縄県","沖縄市","沖縄市登川495-1","47211","098-923-1320","月～金8：30～18：00土8：30～13：00","無",""
"","登川薬局","904-2142","沖縄県","沖縄市","沖縄市登川2-27-1","47211","098-989-4806","月～金9：00～18：00土9：00～13：00","有","098-989-4806"
"","ライトシー薬局 知花店","904-2143","沖縄県","沖縄市","沖縄市知花6-23-22","47211","098-923-2024","月・水～金9：00～17：30火・土9：00～13：00","無",""
"","みさと虹薬局","904-2153","沖縄県","沖縄市","沖縄市美里１－２８－１１","47211","098-988-5510","月～金9:00～21:00土9:00～13:00","無",""
"","あなたのかかりつけ薬局","904-2154","沖縄県","沖縄市","沖縄市東2-25-3","47211","098-939-3322","月～金9：00～18：00土9：00～13：00","有","090-7927-3806"
"","りんご薬局 古謝店","904-2161","沖縄県","沖縄市","沖縄市古謝2-21-28","47211","098-929-2700","月～金9：00～18：00土9：00～13：00","有","080-6482-5910"
"","ハート薬局きゃん店","904-2225","沖縄県","うるま市","うるま市喜屋武３８４－３－２
　きゃんメディカルプラザ１B","47213","975-0825","月～水・金9:00～18:00木・土9:00～13:00","無",""
"","メイト平良川薬局","904-2225","沖縄県","うるま市","うるま市喜屋武１７９　渡口ビル１Ｆ","47213","098-974-8811","9:00～18:00","有","090-1949-1783"
"","すこやか薬局具志川店","904-2243","沖縄県","うるま市","うるま市宮里２６１－１６","47213","098-974-2111","月～金8:30～18:00土9:00～13:00","無",""
"","ハート薬局あかみち店","904-2245","沖縄県","うるま市","うるま市赤道１７４－１２　１０２号","47213","098-974-9339","月・火・木～土9:00～18:00","無",""
"","あかみち薬局","904-2245","沖縄県","うるま市","うるま市赤道１１－１３","47213","098-974-1673","月～金8:30～19:00土8:30～18:30","無",""
"","ひが薬局 与那城店","904-2302","沖縄県","うるま市","うるま市与那城西原867-2","47213","098-989-4692","月・水・金9：00～18：00火9：00～20：00木7：00～15：00土9：00～14：00","無",""
"","北部地区薬剤師会会営薬局","905-0006","沖縄県","名護市","名護市宇茂佐１７１２－１７","47209","0980-52-7752","月～金9:00～18:00","無",""
"","病院前薬局 (名護市)","905-0016","沖縄県","名護市","名護市大東３－２１－２２","47209","0980-51-1775","月～金9:00～18:00","無",""
"","すこやか薬局大北店","905-0019","沖縄県","名護市","名護市大北１－２－３６","47209","0980-51-0117","月～金9:00～17:00土9:00～12:00日･祝休み","無",""
"","アイン薬局 美ら海店","905-0212","沖縄県","本部町","本部町大浜874-2","47308","0980-47-5777","月～水・金9：00～18：00木9：00～17：00土9：00～13：00","有","0980-47-5777"
"","アイン薬局 よこだけ店","906-0501","沖縄県","宮古島市","宮古島市伊良部前里添638-3","47214","0980-74-5588","月～金8：30～17：30土8：30～12：30","有","0980-74-5588"
"","はと薬局","907-0002","沖縄県","石垣市","石垣市真栄里３０１－１　サンエ－石垣シテイ内","47207","0980-83-8984","月～日・祝9:00～22:00","無",""
"","なみき薬局","907-0004","沖縄県","石垣市","石垣市登野城１０２４－４","47207","0980-88-1010","月･火･水･金9:00～19:00木･土9:00～12:30","無",""
"","I＆H石垣離島ターミナル薬局","907-0012","沖縄県","石垣市","石垣三崎町１　石垣港離島ターミナル内","47207","0980-87-9471","8:00～17:00年中無休","無",""
"","ファーマライズ薬局 石垣店","907-0024","沖縄県","石垣市","石垣市新川2105","47207","0980-88-0005","月～金9：00～17：30土9：00～12：30","有","080-2025-2404"
"","美ら島薬局","907-0024","沖縄県","石垣市","石垣市新川2427-102","47207","0980-87-7766","月～水・金9：00～18：30木8：45～17：45
土9：00～16：30","無",""
"","千年薬局","890-0001","鹿児島県","鹿児島市","鹿児島市千年２－１１－１３","46201","099-295-3621","月～金9:00～17:30 
土・日・祝9:00～12:30第1・3・5日曜日閉局
12/31～1/2閉局","有","099-295-3621"
"","今村薬局","890-0002","鹿児島県","鹿児島市","鹿児島市西伊敷４－１６－１","46201","099-220-2655","月～金8:30～18:00 土8:30～12:30","有","099-220-2655"
"","オレンジ玉里薬局","890-0005","鹿児島県","鹿児島市","鹿児島市下伊敷１－２４－１３","46201","099-294-9335","月～金9:00～18:00土9:00～17:30","無",""
"","かごしま北マリンバ薬局","890-0005","鹿児島県","鹿児島市","鹿児島市下伊敷３－１－３","46201","099-290-9324","月～日9:00～19:00","無",""
"","クローバー薬局","890-0005","鹿児島県","鹿児島市","鹿児島市下伊敷1-24-6","46201","099-813-7633","月～土9:00～18:00","有","099-813-7633"
"","コスモス薬局","890-0005","鹿児島県","鹿児島市","鹿児島市下伊敷１－１－１１","46201","099-224-4810","月～土9:00～18:00","無",""
"","タバタ薬局","890-0005","鹿児島県","鹿児島市","鹿児島市下伊敷１－４３－５","46201","099-220-1433","月～金9:00～19:00土9:00～18:00","有","099-220-1433"
"","なでしこ玉里薬局","890-0005","鹿児島県","鹿児島市","鹿児島市下伊敷1-8-19","46201","099-248-7900","月〜金9：00〜18：15
土9：〜13：15","有","080-1715-6884"
"","やまもと薬局伊敷台店","890-0007","鹿児島県","鹿児島市","鹿児島市伊敷台２－６－２６","46201","099-218-0511","月～水・金8:30～18:30 
木8:30～12:30土8:30～16:00","有","099-218-0511"
"","有限会社伊敷調剤薬局","890-0008","鹿児島県","鹿児島市","鹿児島市伊敷２－１－１２","46201","099-229-1227","月～金9:00～19:00土9:00～17:00","有","080-1701-1716"
"","たまざと調剤薬局","890-0014","鹿児島県","鹿児島市","鹿児島市草牟田２－２８－１０","46201","099-225-6145","月～金9:00～17:15
土9:00～13:00","有","080-8576-6749"
"","ねんりん薬局","890-0014","鹿児島県","鹿児島市","鹿児島市草牟田2丁目27-10","46201","099-295-4768","月・火・木・金8:15～17:30　水8:15～16:15　土8:15～12:00","有","090-3586-5692"
"","もみじ薬局","890-0014","鹿児島県","鹿児島市","鹿児島市草牟田2-13-19","46201","099-222-4408","月～金9：00～18：30　土9：00～13：30","有","090-9494-4408"
"","アイリス薬局","890-0015","鹿児島県","鹿児島市","鹿児島市草牟田町３－１３","46201","099-295-6921","月～金9:00～18:00土9:00～13:00","有","099-259-6921"
"","べっぷ薬局アリーナ前","890-0023","鹿児島県","鹿児島市","鹿児島市永吉１－１１－１０","46201","099-202-0057","月～金9:00～18:00土9:00～13:00","有","099-202-0057(転送)"
"","かみぞの薬局明和店","890-0024","鹿児島県","鹿児島市","鹿児島市明和１－２６－５","46201","099-281-2200","月～金9:00～18:30土9:00～13:00","有","099-296-2038"
"","株式会社NKCピュアタウン薬局","890-0031","鹿児島県","鹿児島市","鹿児島市武岡１－１２１－１５","46201","099-230-0306","月～土8:30～17:30","無",""
"","武岡調剤薬局","890-0031","鹿児島県","鹿児島市","鹿児島市武岡2-28-2","46201","099-806-8300","月8:30〜18:00","有","099-806-8300"
"","スター調剤薬局田上店","890-0034","鹿児島県","鹿児島市","鹿児島市田上２－２８－３","46201","099-204-7014","月･火･木･金9:00～18:00 
水9:00～17:00土 9:00～13:00","有","099-204-7014"
"","石井薬局株式会社","890-0034","鹿児島県","鹿児島市","鹿児島市田上２－１５－１０","46201","099-252-5068","月・火・水・金8:30～20:30木8:30～13:30、17:30～20:30土8:30～18:30","有","090-6638-8799"
"","木の葉薬局","890-0034","鹿児島県","鹿児島市","鹿児島市田上３－１２－８","46201","099－250－8200","月～金9:00～18:00土9:00～17:00","有","080-9142-8381"
"","あすなろ薬局","890-0042","鹿児島県","鹿児島市","鹿児島市薬師２－１６－７","46201","099-255-4976","月・火・水・金9:00～18:00木9:00～17:00土9:00～16:00","有","099-255-4976"
"","すずな調剤薬局","890-0042","鹿児島県","鹿児島市","鹿児島市薬師２－２７－８","46201","099-230-0205","月～金9:00～18:00土9:00～13:00","有","099-230-0205"
"","ヘルシーウェル薬局薬師店","890-0042","鹿児島県","鹿児島市","鹿児島市薬師２－１８－１９","46201","099-258-8045","月～金9:00～18:30土9:00～13:30","有","099-258-8045(転送)"
"","ホワイト薬局","890-0042","鹿児島県","鹿児島市","鹿児島市薬師1-12-8","46201","099-206-2223","月〜金9:00〜18:00 土9:00〜13:00","無",""
"","オレンジ薬局","890-0045","鹿児島県","鹿児島市","鹿児島市武2-34-2","46201","099-214-3421","月〜金　8:30〜18:00  土8:30〜17:30","有","090-8352-0767"
"","そうごう薬局鹿児島中央駅西口店","890-0045","鹿児島県","鹿児島市","鹿児島市武一丁目2-10JR九州ビル2階","46201","099-201-7131","月〜金8:30〜18:00 土8:30〜16:00 日10:00〜13:00","有","099-201-7131"
"","たけまち薬局","890-0045","鹿児島県","鹿児島市","鹿児島市武３－２２－２","46201","099-299-0056","月～水･金9:00～18:00木9:00～17:00土9:00～12:30","無",""
"","ゾウさんのはな通り薬局","890-0046","鹿児島県","鹿児島市","鹿児島市西田２－２２－５","46201","099-214-8012","月･火･水･金9:00～18:30 
木9:00～17:00土9:00～18:00","有","099-214-8012"
"","鹿児島中央薬局","890-0046","鹿児島県","鹿児島市","鹿児島市西田１－５－１５","46201","099-286-0787","月～金8:30～17:30土8:30～13:30","無",""
"","西田調剤薬局","890-0046","鹿児島県","鹿児島市","鹿児島市西田１－１７－２","46201","099-296-1010","月～金8:50～18:00土8:50～17:00","有","099-296-1010"
"","白男川薬局中央駅店","890-0046","鹿児島県","鹿児島市","鹿児島市西田２－２８－１０","46201","099-255-7208","月・火・木・金・土9:00～18:30水9:00～17:30第2・4土9:00～14:00","無",""
"","ひいらぎ薬局","890-0051","鹿児島県","鹿児島市","鹿児島市高麗町22-26 OnYourMark高麗1F","46201","099-296-1201","月・火・木・金8:15~18:00 水8:15~16:15 土8:15~12:15","有","099-296-1201"
"","ナポリ通り薬局","890-0052","鹿児島県","鹿児島市","鹿児島市上之園町１０－３－１０１","46201","099-213-1171","月～水･金9:00～18:00木9:00～17:00土9:00～14:00","無",""
"","ゆうゆう薬局甲南店","890-0052","鹿児島県","鹿児島市","鹿児島市上之園町２０－２７－１Ｆ","46201","099-250-5672","月～金9:00～18:00土9:00～13:00","無",""
"","若葉薬局","890-0052","鹿児島県","鹿児島市","鹿児島市上之園町３４－２０－１０２","46201","099-298-1103","月・火・水・金9:00～18:30木・土9:00～17:00","有","090-8356-2891"
"","上之園薬局","890-0052","鹿児島県","鹿児島市","鹿児島市上之園町17-2","46201","099-210-5602","月〜金9:00〜19:00 土9:00〜13:00","有","090-7976-6455"
"","れいめい薬局中央店","890-0053","鹿児島県","鹿児島市","鹿児島市中央町６－８メディカルプラザ中央１Ｆ","46201","099-208-5111","月・水～金10:00～19:30土10:00～18:00日10:00～13:00","有","090-2086-8078"
"","鹿児島中央福元薬局","890-0053","鹿児島県","鹿児島市","鹿児島市中央町９－９","46201","099-204-9696","月～金8:45～18:15
土8:45～13:00","有","090-9073-9696"
"","シルキー薬局","890-0054","鹿児島県","鹿児島市","鹿児島市荒田２―４３－８－１００","46201","099-297-4541","月火水金9:00~18:30    木土9:00~17:00","有","080-3981-9184"
"","とまと薬局　荒田店","890-0054","鹿児島県","鹿児島市","鹿児島市荒田1-16-3","46201","099-298-9211","月〜金9:00〜18:00　土9:00〜13:00　日祝休み","無",""
"","ゆうゆう薬局荒田店","890-0054","鹿児島県","鹿児島市","鹿児島市荒田１－１２－１","46201","099-801-4747","月～金9:00～18:30土9:00～13:00","無",""
"","大賀薬局いまきいれ総合病院前店","890-0054","鹿児島県","鹿児島市","鹿児島市荒田１－１５－２－１階","46201","099-257-1033","月～金9:00～18:00第1、第3土9:00～13:00","無",""
"","みずほ通り・さくら薬局","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町25-12","46201","099-214-3971","月〜水金8:30〜18:00   木土8:30〜12:30","有","090-1199-3971"
"","花ことば薬局","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町25番地19-102号","46201","099-202-0406","月〜金8:45〜18:00  土9:30〜13:30","有","099-202-0406"
"","株式会社大賀薬局市立病院前店","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町２６－１７","46201","099-256-8366","月～金9:00～18:00","無",""
"","市立病院前ミドリ薬局","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町２９－３２","46201","099-230-0461","月～金8:30～18:00 
土8:30～13:00","無",""
"","南国タケシタ薬局株式会社荒田つばめ薬局","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町８－１１","46201","099-213-5601","月～金9:00～18:00土9:00～13:00","無",""
"","南国タケシタ薬局市立病院前店","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町25-16-102","46201","099-204-0581","月～金9:00～18：00","無",""
"","南日本薬剤センター薬局上荒田店","890-0055","鹿児島県","鹿児島市","鹿児島市上荒田町２６－１９－１","46201","099-204-9360","月～金8:30～19:00土8:30～13:30","有","099-204-9360"
"","アルカス調剤薬局","890-0056","鹿児島県","鹿児島市","鹿児島市下荒田2-7-7","46201","099-286-0841","月、火、木、金9:00～18:30 水8:30～16:00 土9:00～14:00","有","080-5255-9863"
"","セオ薬局　荒田調剤","890-0056","鹿児島県","鹿児島市","鹿児島市下荒田2-1-1","46201","099-257-2991","月・火・木・金 : 9:00 〜18:30    土 : 9：00〜17:00","無",""
"","地域の薬局荒田八幡さくらホス","890-0056","鹿児島県","鹿児島市","鹿児島市下荒田3-16-3","46201","099-230-0627","月、火、木、金8:30～18:00　水9:00～17:00　土8:30～16:00","有","090-1447-1946"
"","しらかわ薬局与次郎店","890-0062","鹿児島県","鹿児島市","鹿児島市与次郎１－３－１０","46201","099-286-1511","月～金9：00～18：00　土9：00～13：00","有","090-9575-0404"
"","ピエール薬局","890-0062","鹿児島県","鹿児島市","鹿児島市郡元一丁目４番３号―１０２号","46201","099-204-0095","月～土　9：00～17：00","無",""
"","よつば薬局","890-0062","鹿児島県","鹿児島市","鹿児島市与次郎1-7-1","46201","099-292-0021","月～土9：00～18：00","有","090-7293-7839"
"","かもいけ電停前さくら薬局","890-0063","鹿児島県","鹿児島市","鹿児島市鴨池1-31-11","46201","099-230-0557","月〜金9:00〜金18:00  木土9:00〜13:00","無",""
"","鹿児島市薬剤師会夜間救急薬局","890-0063","鹿児島県","鹿児島市","鹿児島市鴨池２－２２－１８","46201","099-206-2811","19:00～7:00","無",""
"","上荒田薬局","890-0063","鹿児島県","鹿児島市","鹿児島市鴨池1-44-10","46201","099-208-6077","月火木金8:30〜18:00  水8:30〜16:30  土8:30〜12:30","無",""
"","七福さくら薬局","890-0064","鹿児島県","鹿児島市","鹿児島市鴨池新町１４－２　七福神ビル１Ｆ","46201","099-230-0681","月～金8:30～18:00土8:30～13:30","無",""
"","南日本薬剤センター薬局鴨池新町店","890-0064","鹿児島県","鹿児島市","鹿児島市鴨池新町５－８","46201","099-297-4050","月～金8:45～18:45
土8:45～13:15","有","099-297-4050"
"","フラワー薬局","890-0065","鹿児島県","鹿児島市","鹿児島市郡元２－１２－１０","46201","099-813-0777","月～金9:00～19:00土9:00～14:00日・祝休み","有","099-813-0777"
"","南九州調剤薬局郡元店","890-0065","鹿児島県","鹿児島市","鹿児島市郡元１－１３－３－１０１","46201","099-297-6018","月～金9:00～18:00土9:00～13:00","有","099-297-6018"
"","郡元マリンバ薬局","890-0065","鹿児島県","鹿児島市","鹿児島市郡元３－３－１５","46201","099-252-2355","月～金　8：30～18：30土　8：30～17：30","無",""
"","郡元薬局","890−0065","鹿児島県","鹿児島市","鹿児島市郡元3-1-7","46201","099-257-3188","月〜金9:00〜18:00  土9:00〜13:00","有","090-1512-5367"
"","真砂薬局","890-0066","鹿児島県","鹿児島市","鹿児島市真砂町７６－９","46201","099-202-0603","月～金9:00～18:00 
土9:00～13:00","有","099-202-0603"
"","康心鴨池薬局","890-0067","鹿児島県","鹿児島市","鹿児島市真砂本町51-1ニシムタスカイマーケット鴨池","46201","099-812-7005","月〜金8:30〜18:00   土8:00〜13:00","有","080 2720 2556"
"","つむぎ薬局","890-0068","鹿児島県","鹿児島市","鹿児島市東郡元町5-15","46201","099-204-0077","月～金9：00～18：00　土9：00～13：00","有","080-5255-0077"
"","ケンコー堂薬局","890-0073","鹿児島県","鹿児島市","鹿児島市宇宿４－３９－１","46201","099-265-0868","月～土9:00～18:00","有","099-265-0868"
"","なかま薬局","890-0073","鹿児島県","鹿児島市","鹿児島市宇宿７－１５－１５","46201","099-201-1580","月・火・木・金9:00～12:30、14:30～18:30水・土9:00～12:30","無",""
"","なでしこ薬局","890-0073","鹿児島県","鹿児島市","鹿児島市宇宿3丁目54番12号","46201","099-213-5501","月～金9：00～18：00　土9：00～13：00","有","080-4326-1264"
"","マリンバ調剤薬局宇宿店","890-0073","鹿児島県","鹿児島市","鹿児島市宇宿３－２１－６","46201","099-286-6773","月･火･水･金9:00～18:00木･土:9:00～17:00","有","099-286-6773"
"","宇宿たいよう薬局","890-0073","鹿児島県","鹿児島市","鹿児島市宇宿7丁目5番36号","46201","099-204-9435","月～金9：00～18：30　土9：00～13：00","有","080-8583-5072"
"","宇宿薬局","890-0073","鹿児島県","鹿児島市","鹿児島市宇宿１－２６－２２","46201","099-253-7219","月、水～金8:00～18:30火8:00～18:00土8:00～17:00","無",""
"","キク薬局大学病院前店","890-0075","鹿児島県","鹿児島市","鹿児島市桜ケ丘８－２０－２８","46201","099-275-7110","月～金8:30～17:30","有","090-3661-7110"
