custom_website,custom_address,custom_memo_available_datetime,custom_postalcode,custom_phone,post_title,tax_is_open_sunday,tax_is_open_holiday
https://ims.gr.jp/meirikaichuo/,北区東十条3-2-11,平日 8:30-16:30,114-0001,03-5902-1199,医療法人財団明理会 明理会中央総合病院,×,×
https://www.tokyokita-jadecom.jp/,北区赤羽台4-17-56,24時間,115-0053,03-5963-3311,公益社団法人地域医療振興協会 東京北医療センター,◯,◯
http://o-hp.or.jp/,北区桐ケ丘1-22-1,月・火・木・金 9:00-16:30土(第2・4) 9:00-11:30,115-0054,03-3907-1222,医療法人財団逸生会 大橋病院,×,×
http://www.trshp./jp/,荒川区南千住8-4-4,月・金・土 8:30-11:30水・木   8:30-11:30 13:30-16:00,116-0003,03-5850-0311,社会医療法人社団正志会荒木記念東京リバーサイド病院,×,×
https://twmu-mce.jp/,荒川区西尾久2-1-10,基本24時間 困難な場合もある,116-8567,03-3810-1111,東京女子医科大学東医療センター,◯,◯
https://www.ims.gr.jp/yamato/,板橋区本町36-3,平日 8:30-17:00 土 8:30-12:30,173-0001,03-5943-2411,医療法人財団 明理会 東京腎泌尿器センター大和病院,×,×
http://www.sho-hospital.jp/usr/pc/,板橋区板橋1-41-14,平日 9:00-11:30土    9:00-11:30  (第2休診),173-0004,03-3963-0551,医療法人財団仁寿会 荘病院,×,×
http://www.toshima-hp.jp/,板橋区栄町33-1,平日 9:00-15:30,173-0015,03-5375-1234,公益財団法人東京都保健医療公社 豊島病院,×,×
https://www.ims-itabashi.jp/,板橋区小豆沢2-12-7,平日 8:00-11:30,174-0051,03-3967-1181,医療法人社団明芳会 板橋中央総合病院,×,×
http://www.itabashi-med.jp/,板橋区高島平3-12-6,平日・土 8:30-11:00,175-0082,03-3975-8151,板橋区医師会病院,×,×
http://www.narimasu.or.jp,板橋区成増1-1-1,月・火・水・金・土 9:00-17:00木 9:00-12:00,175-0094,03-3975-1111,医療法人社団成和会 産婦人科病院成増産院,×,×
https://www.juntendo.ac.jp/hospital_nerima/,練馬区高野台3-1-10,24時間,177-8521,03-5923-3111,順天堂大学医学部附属練馬病院,◯,◯
https://www.kubota-hosp.jp/,練馬区東大泉3-29-10,平日 9:00-11:30 14:00-16:30土   9:00-11:30,178-0063,03-3922-0262,医療法人社団 久保田産婦人科病院,×,×
http://www.sonodakai.or.jp/shisetu/so1.html,足立区竹の塚4-1-12,平日 9:00-12:00 土 9:00-12:00,121-0813,03-3850-5721,医療法人社団苑田会 苑田第一病院,×,×
http://www.matsushima-wh.or.jp/,東京都江戸川区松島1-41-29,平日9-17時・土曜日9-13時,132-0031,03-3653-5541,医療法人社団向日葵会まつしま病院,×,×
https://www.iwakura-byoin.com/,江戸川区南小岩7-28-4,平日 9:00-18:45 土 9:00-16:45,133-0056,03-3659-3215,医療法人社団理弘会 岩倉病院,×,×
http://www.yoneyama-hp.jp,八王子市新町2-12,平日・土・日・祝 9:00-17:00,192-0065,042-642-5225,医療法人社団 米山産婦人科病院,◯,◯
,福生市福生871,月・火・水・木 9:00-16:00金・土 9:00-12:00,197-0011,042-551-1311,医療法人社団 大聖病院,×,×
www.fussahp.jp,福生市加美平1-6-1,24時間,197-8511,042-551-1111,公立福生病院,◯,◯
http://www.hospital.inagi.tokyo.jp,稲城市大丸1171,平日 8:30-17:00,206-0801,042-377-0931,稲城市立病院,×,×
http://www.tactis.or.jp,立川市柴崎町2-17-14,平日 8:30-11:30 13:00-16:00,190-0023,042-522-7171,医療法人財団 立川中央病院,×,×
http://www.yamatokai.or.jp/musasimurayama/,武蔵村山市榎1-1-5,月~土 8:30-11:00 受付時間,208-0022,042-566-3111,社会医療法人財団大和会武蔵村山病院,×,×
http://higashifuchu-hp.jp/,府中市若松町2-7-20,月~土 9:00-17:00,183-0005,042-364-0151,医療法人社団新愛会 東府中病院,×,×
http://www.iino-hospital.or.jp,調布市布田4-3-2,月・火・水・金・土 9:00-11:30 13:30-16:00,182-0024,042-483-8811,医療法人社団 飯野病院,×,×
http://www.tokokai.or.jp/,調布市下石原3-45-1,平日 8:20-12:30 13:30-16:00土 8:20-12:30,182-0034,042-484-2626,医療法人社団桐光会 調布病院,×,×
http://www.sasa-hospital.com/,西東京市田無町4-24-15,平日 9:00-16:30土   9:00-12:30,188-0011,042-461-1535,医療法人社団時正会佐々総合病院,×,×
http://www.artemis.tokyo/,東久留米市中央町1-1-20,月・火・水・金 9:00-12:00 14:00-17:00木・土  9:00-12:00,203-0054,042-472-6111,医療法人社団レニア会 篠宮正明記念アルテミスウイメンズホスピタル,×,×
http://www.kenkoigaku.or.jp,千代田区霞が関3-2-5 霞が関ビル3F,平日 9:00-12:00 14:00-16:30,100-6003,03-3581-6031,一般財団法人健康医学協会附属 霞が関ビル診療所,×,×
http://:yotsuya-lc.com,千代田区麹町6-4-14 堤ビル2F,平日・土 10:00-13:00 15:00-18:30,102-0083,03-3234-5343,医療法人社団コンシューマメディカル 四ッ谷レディスクリニック,×,×
https://www.1-ilc.com/,千代田区一番町4-26 相模屋第5ビル2F,月 10:00-13:00 16:00-18:30火・水・金 9:30-13:00 16:00-18:30木 16:00-18:30 土 10:00-13:00,102-0082,03-3261-2255,医療法人社団ILC会 一番町レディースクリニック,×,×
http://www.kioicho-lc.jp/,千代田区紀尾井町3-29 紀尾井ロイヤルハイツ204,月・火・水・木 9:30-13:30 16:00-20:0金  9:30-13:30 16:00-20:00(12月から)土 10:30-13:30,102-0094,03-6666-5505,紀尾井町レディースクリニック,×,×
https://www.moricli.jp/,東京都千代田区丸の内1-5-1 新丸の内ビルディング9F,平日 9:00-15:30,100-6509,03-6206-3900,丸の内の森 レディースクリニック,×,×
https://ststyle-clinic.jp,千代田区麹町4-6-8 ダイニチ麹町ビル3F,月・火・水・金・土 10:00-19:00,102-0083,03-6261-7405,S.T style クリニック,×,×
,千代田区有楽町1-10-1 有楽町ビル4Fー414区,月・火・木・金 11:00-13:00 14:00-18:00,100-0006,03-3214-2568,有楽町ビル婦人科クリニック,×,×
https://www.ayumiclinic.com,千代田区神田小川町1-10-3 保坂ビル7F,月・火・木 11:30-14:00 17:00-20:00土  11:30-14:00,101-0052,03-5577-5253,あゆみクリニック,×,×
https://www.ivf-baby.org,千代田区五番町2 横山ビルB1F,平日 8:30-19:00 土 8:30-13:00,102-0076,03-3264-8686,医療法人社団授生会 杉村レディースクリニック,×,×
http://www.tokyo-cl.com,千代田区大手町2-2-1 新大手町ビル1F・地下1F・地下2F,月・木・金 11:00-12:00 15:00-16:30火 11:00-12:0014:00-16:30水 11:30-12:00 15:30-16:30 土 11:30-12:00,100-0004,03-3516-7151,医療法人財団健貢会 東京クリニック,×,×
http://doimisa-clinic.com/,千代田区内幸町2-2-1 日本プレスセンタービルB1,月・火・木・金・第4水 10:30-13:0015:00-18:30第1・2・3        15:00-18:30,100-0011,03-3519-5079,霞ヶ関土居美佐クリニック,×,×
,中央区築地1-3-6,月・火・水・金 9:30-13:00 15:00-18:00土  9:30-13:00,104-0045,03-3541-0396,前田医院,×,×
https://www.daiya-clinic.jp/,中央区新川1-28-25 東京ダイヤビルディング3号館-1F,月 14:00-17:00木 9:00-12:30 初診の方12:30,104-0033,03-3551-7737,医療法人社団進興会 東京ダイヤビルクリニック,×,×
http://www.haruneclinic.com/,中央区銀座1-5-8 ギンザウィローアベニュービルディング6F,月・火・水・金 9:30-17:00土 9:30-14:00  木 12:00-19:00,104-0061,03-5250-6850,医療法人社団春音会 はるねクリニック銀座,×,×
http://www.ginzaladies.com,中央区銀座4-6-11 銀座センタービル6F,月・火・水・金 9:00-18:00木・土      9:00-12:30,104-0061,03-3535-1117,医療法人社団 銀座レディースクリニック,×,×
http://www.kachidoki-women.com/,中央区勝どき2-10-4宮野海運ビル4F,平日 8:45-12:30 14:45-17:30土 8:45-12:30,104-0054,03-3536-7723,勝どきウィメンズクリニック,×,×
http://www.yasuelc.com,中央区日本橋小舟町15-15 ルネ小舟町ビル4F,月・火・木・金 10:00-13:00 15:00-17:30水 10:00-13:00,103-0024,03-3667-0085,安江レディースクリニック,×,×
http://www.centralclinic.or.jp,中央区日本橋3-1-2 NTA日本橋ビル9F,月・火・水 10:00-12:00 14:30-18:00木・金・土 10:00-12:00 14:30-17:00,103-0027,03-3270-1121,医療法人三秀会 八重洲中央クリニック,×,×
https://rivercity-clinic.jp/,中央区佃1-11-8 ピアウエストスクエア2F,火・水・木  9:30-17:00,104-0051,03-6219-5100,医療法人社団わかと会 リバーシティクリニック東京,×,×
https://www.tokyo-ladies.jp/,中央区京橋1-1-5 セントラルビル5F,平日・土・日・祝 9:30-19:00,104-0031,03-3342-1971,医療法人社団新宿レディースクリニック会 東京レディースクリニック,◯,◯
http://www.kameda-kyobashi.com/ja/index.html,中央区京橋3-1-1 東京スクエアガーデンビル4階・6階,平日 9:00-13:30 14:00-18:30土  10:30-13:30 15:00-17:00,104-0031,03-3527-9100,医療法人鉄蕉会 亀田京橋クリニック,×,×
www.kayabacho-itoiin.jp,中央区日本橋茅場町1-13-15 新居ビル3階,平日 10:00-13:30 15:30-18:00ウェブサイトより予約可,103-0025,03-6667-0198,医療法人社団菫青会 茅場町いとう医院,×,×
https://www.kusuhara-womens.jp/,中央区銀座5-6-2 銀座七宝ビル6F,月・火・水・金 9:00-13:00 15:00-18:30木・土  9:00-13:00,104-0061,03-6274-6433,医療法人社団 楠原ウィメンズクリニック,×,×
www.kishiclinicafemina.jp,中央区銀座8-5-6 並木通り 中島商事ビル5階,月・火・木・金 18:30-22:00水・土 14:00-17:30 18:30-22:00日・祝 9:30-13:00 14:00-17:30 18:30-22:00,104-0061,03-5537-7171,KISHI CLINICA FEMINA,◯,◯
http://www.yoshida-iin.com/,中央区銀座2-4-8 GINZA YUKI BLD.8F・9F,月・火・木・金 10:00-13:00 15:00-18:00第2・4 土 10:00-13:00    完全予約制,104-0061,03-3561-5537,銀座吉田医院,×,×
http://koyama-lc.com/,中央区勝どき3-3-6 勝どき田窪ビル2F,平日 9:30-12:30 14:30-18:30土   9:00-13:30 14:30-17:00,104-0054,03-5859-5975,こやまレディースクリニック,×,×
https://ginzakounotori.com/,中央区銀座1-3-9 マルイト銀座ビル7F,月・火・木・金 10:00-12:00土 11:00-13:00,104-0061,03-5159-2077,銀座こうのとりレディースクリニック,×,×
http://fika-lc.jp/,中央区日本橋2-5-1 日本橋高島屋三井ビルディング10F 1001号室,月 8:30-19:00 水 8:30-17:00火・木・金 9:30-19:00,103-0027,03-6910-3977,医療法人舘出張 佐藤会フィーカ レディースクリニック,×,×
https://ease-clinic.jp,中央区入船1-1-24 ドルフィンKOTO入船ビル5F,月・火・木・金 9:00-18:30水 9:00-13:30 土 9:00-14:00,104-0042,03-3206-1112,EASE女性のクリニック,×,×
http://www008.upp.so-net.ne.jp/ivfginza/,中央区銀座6-12-13 大東銀座ビル4F,月・火・水・金 9:00-13:30 15:00-18:30土 9:00-13:30,104-0061,03-5537-7600,医療法人社団 銀座ウィメンズクリニック,×,×
http://www.hosp.jikei.ac.jp/harumi,中央区晴海1-8-8 晴海アイランドトリトンスクエアオフィスタワーW3F,火・金 9:00-11:30水 9:00-11:30 14:00-17:30,104-0053,03-3531-3211,慈恵医大晴海トリトンクリニック,×,×
http://huninsho.com/,中央区銀座6-9-7 近畿建物銀座ビル8F,月・火・木・金・土 10:00-18:00,104-0061,03-3569-7711,医療法人社団央美会 銀座すずらん通りレディスクリニック,×,×
http://i-ll-clinic.com,中央区月島1-8-1 アイマークタワー203,月・火・木・金 9:30-16:00土        9:30-11:00,104-0052,03-3534-0803,アイル女性クリニック,×,×
https://www.seikoginza.com/,中央区銀座7-2-4 ムサシ7ビル4F,平日 9:30-20:00 土・日・祝 9:30-15:00,104-0061,03-5568-3128,医療法人社団すずらん せいこレディースクリニック銀座,×,×
http://w-wellness.com/,中央区銀座2-6-5 銀座トレシャス7F,月:10:00~18:00火~土:10:00~17:30日曜祝日は休診,104-0061,03-3538-0270,医療法人社団ウィミンズ・ウェルネス 対馬ルリ子女性ライフクリニック銀座,×,×
https://higashinihonbashi-lc.com/,中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町4階,月・水・金 10:00-20:00火・木  10:00-17:00,103-0011,03-6661-6658,東日本橋レディースクリニック,×,×
https://www.hori3541.or.jp,港区高輪3-7-8,平日 9:00-12:30 16:00-18:30土   9:00-13:00,108-0074,03-3449-3541,医療法人社団康寿会 堀産婦人科,×,×
https://www.minatomitaclinic.net,港区芝5-16-1 千代ビル3階,月・火・水・金 10:00-12:30 14:00-17:30土  10:00-12:30,108-0014,03-3456-3391,医療法人社団健勝会 港三田クリニック,×,×
http://kanda2nd.com,港区西麻布3-20-14 梅田ビル2F,平日 9:00-12:30 14:00-16:30土・日・祝 休診,106-0031,03-3402-0654,医療法人社団 神田第二クリニック,×,×
,港区北青山3-3-7-102,平日 8:00-12:00,107-0061,03-3401-2055,中井診療所,×,×
http://kanamori-clinic.com/,港区南麻布5-10-24 第2佐野ビル4F,月 14:00-19:30火・水 9:00-17:00,106-0047,03-6408-0652,広尾かなもりクリニック,×,×
http://izumi-womenns.jp/,港区南青山5-4-3 南青山泉ビル3F,平日 9:00-17:40土   9:00-12:40,107-0062,03-3400-1213,泉ウィメンズクリニック,×,×
http://pinkribbon-brestcure.com/,港区北青山3-6-19 バイナリー北青山2F,月・火・水・金 10:00-19:00木・土      9:30-17:30,107-0061,03-3407-7373,ピンクリボン ブレストケアクリニック 表参道,×,×
http://ebine-womena-clinic.com,港区高輪1-2-17 高輪梶ビル5F,平日 8:30-19:00土・日・祝 8:30-17:00,108-0074,03-5789-2590,白金高輪海老根ウィメンズクリニック,◯,◯
http://www.marumo-ladies.jp,港区六本木1-6-1 泉ガーデンタワー4F,月・火・水・金 10:00-13:00 15:00-18:00土 10:00-13:00 15:00-17:00,106-6004,03-5575-5778,医療法人社団清陵会 丸茂レディースクリニック,×,×
http://www.mima-ladies.com/,港区赤坂3-13-13 中村ビル4F,月・火・水・金 10:00-19:00土      10:00-14:00,107-0052,03-6277-7397,美馬レディースクリニック,×,×
,港区台場2-2-4 台場クリニックモール2F,平日 10:00-13:30 15:00-17:00土   10:00-13:00,135-0091,03-3529-2284,お台場海浜公園 虹橋クリニック,×,×
http://oliveladies.com/azabu/,港区麻布十番1-5-18 カートブラン麻布十番3F,平日 9:00-18:00 土・日 9:00-16:00,106-0045,03-6804-3208,医療法人社団オリーブ会オリーブレディースクリニック麻布十番,◯,×
http://www.aiiku.net/clinic/,港区南麻布5-6-8,平日 9:00-12:00,106-8580,03-3473-8310,社会福祉法人恩賜財団母子愛育会総合母子保健センター 愛育クリニック,×,×
http://www.hamadai-ladies.com,港区浜松町2-2-15 浜松町ゼネラルビル8F,平日 11:00-20:00土   11:00-16:00,105-0013,03-6403-4105,浜松町大門レディースクリニック,×,×
http://takanawadai-lc.com/,港区高輪3-8-17 TK高輪ビル3F,平日 10:00-13:00 15:00-18:00土   10:00-15:00,108-0074,03-3441-1377,高輪台レディースクリニック,×,×
http://general-clinic.tokyo,港区六本木6-1-8 六本木グリーンビル8F,平日 10:30-18:30 土 11:00-19:00(不定休)日 11:00-19:00,106-0032,03-3401-0333,ジェネラルクリニック,◯,×
https://akatora-clinic.com,港区赤坂1-8-1 赤坂インターシティAIR地下1F,月・火・木・金 8:30-13:00 14:00-16:30,107-0052,03-3583-8080,赤坂虎の門クリニック,×,×
www.amh.clinic,港区新橋1-9-5 新橋M-SQUARE Bright 2F,月・火・水・木 9:00-12:00 15:00-19:00水・土・祝  9:00-12:00,105-0004,03-3573-4124,東京AMHクリニック銀座,△,△
http://www.saint.or.jp,港区南青山2-4-12 南青山アサヒビル3F,月・火・木・金 10:30-14:00 16:00-20:00水 16:20:00 土 10:30-14:00 完全予約制,107-0062,03-5772-6881,医療法人社団セイント会セイントメディカルクリニック,×,×
http://www.ladies-clinic.or.jp/,港区南麻布5-1-11 Qiz広尾3F,月・火・水・金 9:30-18:00土  10:00-17:00,106-0047,03-5798-3470,医療法人社団宗友会パークサイド広尾レディスクリニック,×,×
http://www.66clinic.com/,港区六本木6-10-1 六本木ヒルズ森タワー6階,月・火・水・木 10:00-12:30 14:30-17:30金  10:00-12:30,106-6106,03-3796-0066,医療法人社団ケアリージェンシー 六本木ヒルズクリニック,×,×
s-kamiyamaclinic@jcom.home.ne.jp,港区芝2-9-10 ダイユウビル1F,月・火・金 10:00-13:00 16:00-18:30水 10:00-13:00 16:00-17:00木 16:00-18:00  土 10:00-13:00,105-0014,03-6414-5641,医療法人社団神徳会 芝公園かみやまクリニック,×,×
kanja.jp/020914.html,港区麻布十番2-20-7 稲川ビル4F,火・水・木・金 11:00-17:00土  11:00-15:00,106-0045,03-5730-1115,麻布十番つのだレディースクリニック,×,×
http://iwaki-lc.jp,港区新橋1-18-19 キムラヤオオツカビル3F,月・水・木 11:00-13:30 16:00-19:30火・金・土 11:00-13:30,105-0004,03-3593-6321,医療法人社団 いわきたえこレディースクリニック,×,×
https://www.aw-clinic.com,港区六本木7-14-7 トリニティビル4F,平日 11:00-20:00 日 11:00-20:00,106-0032,0120-766-649,アヴェニューウィメンズクリニック,×,×
http://www.azabuwomens-cl.com/,港区麻布十番1-5-19 ラトリエ・メモワールビル2F,月・火・木 11:00-14:00 15:00-19:00金  11:00-14:00 15:00-20:00土  10:30-15:30,106-0045,03-3405-0928,医療法人社団まなみウィメンズ 麻布十番まなみウィメンズクリニック,×,×
,新宿区市谷田町1-10 保健会舘新館,火 13:30-18:30  第2土 10:00-15:30(平日 9:00-17:00 応相談),162-0843,03-3235-2694,一般社団法人日本家族計画協会市谷クリニック,×,×
https://www.takamura-iin.com/,新宿区四谷3-10,月・火・水・木・金 9:00-12:00 14:00-18:00,160-0004,03-3351-3610,医療法人社団柏葉会 高村医院,×,×
無,新宿区高田馬場2-14-22,月・木・金 9:00-12:00 16:00-18:00火・土    9:00-12:00,169-0075,03-3200-1281,竹下医院,×,×
,新宿区大久保2-18-16,平日 10:00-12:30 14:00-18:00土   10:00-12:30,169-0072,03-3200-0028,かわかた医院,×,×
,新宿区高田馬場2-13-15,月・火・水・木・金 9:30-12:00,169-0075,03-3209-1301,福島医院,×,×
,新宿区大久保1-16-13 三和ビル3F,月・火・木・金 9:30-13:00 14:30-17:30,169-0072,03-3204-1203,林医院,×,×
http://w-wellness.com/,東京都新宿区新宿3-14-1 新宿伊勢丹地下2F,火~日:11:00~19:00月曜は休診(月曜が祝日の場合は翌日)ご来院前にホームページやお電話でご確認ください,160-0022,03-6273-1220,医療法人社団ウィミンズ・ウェルネス 女性ライフクリニック新宿,×,×
http://www.takako-ladies.com,新宿区百人町1-24-2 カメリアコート新宿2F,平日 10:00-13:00 15:00-18:00土   10:00-13:00 15:00-17:30,169-0073,03-5386-1155,医療法人社団白千代会貴子レディースクリニック,×,×
http://kagurazaka-lady-clinic.com,新宿区神楽坂5-32 近江屋ビル4F,月・水・金 9:30-13:00 15:00-18:00土 9:30-14:00,162-0825,03-5579-2198,神楽坂レディースクリニック,×,×
https://nadeshiko-women.com/,新宿区高田馬場1-1 メトロシティ西早稲田2F,月・火・木・金 9:30-12:45 14:30-18:15水 9:30-12:45 土 9:30-11:45 13:00-15:45,169-0075,03-6233-8228,なでしこ女性診療所,×,×
https://maki-lc.jp/,新宿区高田馬場1-28-18 和光ビル2F,月・水・金 10:00-19:00木 10:00-13:30 土 10:00-17:00,169-0075,03-6457-6123,まきレディスクリニック,×,×
https://jlc.tokyo/,新宿区新宿3-30-11 新宿高野第二ビル4F,月・火・木・金・日 11:00-14:00 16:00-20:00,160-0022,03-5315-4920,医療法人社団しらゆきジャスミンレディースクリニック新宿,◯,×
https://www.shinjyuku-sakura.jp/,新宿区西新宿1-3-17 新宿第1アオイビル9F,平日 11:00-15:00 17:00-22:00土・日・祝 11:00-18:00,160-0023,03-5989-0022,新宿駅前さくらレディースクリニック,◯,◯
www.klcs.jp,新宿区西新宿1-25-1 新宿センタービル5F,月・木・金・土 11:00-12:30 14:30-18:30日  11:00-12:30 14:30-17:30,163-0605,03-3343-9555,ケイ・レディースクリニック新宿,◯,×
http://www.aklady.com/,新宿区住吉町1-12 新宿曙橋ビル2F,平日 10:00-12:30 15:30-18:30土   10:00-12:30,162-0065,03-5919-8828,医療法人社団SK医新会曙橋レディースクリニック,×,×
https://www.1971fujinka.jp/,新宿区西新宿6-5-1 新宿アイランドタワー32階,平日・土・日・祝 9:30-19:00,163-1332,03-3340-1971,医療法人社団新宿レディースクリニック会 新宿レディースクリニック,◯,◯
http://www.catnet.ne.jp/h-kondo/,文京区本駒込5-60-6,月・水・木・金・土 9:00-13:00 15:00-18:30火 9:00-13:00,113-0021,03-3821-1804,近藤医院,×,×
www.ichimiyaclinic.com,文京区本郷2-27-8 太陽館ビル1F,月・火・金 9:30-18:30 水・木・土 9:30-13:00,113-0033,03-3818-5371,一宮クリニック,×,×
http://hakusanladies.com/,文京区白山5-36-9 白山麻の実ビル9F,平日 9:30-13:00 14:30-18:15土  9:30-13:00,112-0001,03-5689-3070,医療法人社団光樹会 白山レディースクリニック,×,×
http://.www.sunhill-lc.net,文京区千駄木5-3-10-2F,平日 10:00-12:30 14:45-17:45土   10:00-12:30,113-0022,03-3823-8828,サン・ヒルレディースクリニック,×,×
https://korakuen-womens.jp/,文京区本郷1-33-8 ハウス本郷ビル4F,月・火・木・金 9:30-12:00 14:00-18:00土 9:30-13:00,113-0033,03-5689-5500,後楽園ウィメンズクリニック,×,×
https://kamiya-lc.com/,文京区本駒込2-10-7 濱田ビル1F,月火水金 9時30分から12時30分、15時から19時土 9時30分から12時30分、14時から17時,113-0021,03-5977-8811,かみやレディースクリニック,×,×
http://www.sei-clinic.jp,文京区関口1-18-6 ユニーブル江戸川橋2F,平日 10:00-13:00 13:00-18:30土   10:00-13:30,112-0014,03-3513-0355,医療法人社団誠仁メディカル 誠ウイメンズクリニック,×,×
,台東区入谷1-7-7,月・水・木・金 9:30-12:00  15:30-17:30火 9:30-12:00 土    9:30-11:30,110-0013,03-3872-7873,飯山医院,×,×
http://nezuyanaka.jp/,台東区谷中1-1-16,火水金土 19時から21時,110-0001,03-3823-2346,根津・谷中レディースクリニック,×,×
http://www.sasakiiin-luce.jp,台東区浅草5-33-12,診療時間内,111-0032,03-3872-6776,医療法人社団ルーチェ会佐々木医院,×,×
http://www.asakusa-sanfujinka.jp,台東区西浅草3-2-5,平日9:30‐13:00、15:00-18:30土曜日9:30-13:00,111-0035,03-3844-9236,あさくさ産婦人科クリニック,×,×
https://www.ueno-ladies.jp/,台東区上野2-7-13 JTB損保ジャパン日本興亜上野共同ビル2F,平日・土・日・祝 9:30-19:00,110-0005,03-5812-1971,医療法人社団新宿レディースクリニック会 上野レディースクリニック,,
http://www.uenoderma.jp,台東区東上野1-7-12 徳永ビル2F,月・火・水・金 9:30-19:00木  9:30-12:30 土  9:30-13:00,110-0015,03-5842-1200,医療法人社団悠俊会 上野皮フ科・婦人科クリニック,×,×
,墨田区緑1-7-7,木 14:00-19:00土 9:00-14:00,130-0021,03-3631-0465,相生産婦人科医院,×,×
https://www.ai-w.com/,墨田区錦糸1-5-14 サンヨー堂錦糸ビル3F,月・火・水・金 10:00-12:30 15:00-18:00,130-0013,03-3829-2522,医療法人社団 あいウイメンズクリニック,×,×
https://www.doctors-search.com/c-sumida/okuraiin/,墨田区墨田1-10-4,平日 9:00-13:00 16:00-19:00土   9:00-13:00,131-0031,03-3611-4077,大倉医院,×,×
http://www.anzu-ladies.com/,墨田区吾妻橋2-3-9 ノエルビル2F,月・火・木・金 10:00-12:30 15:00-18:30土 9:00-12:30,130-0001,03-6456-1682,あんずレディースクリニック,×,×
,江東区南砂7-1-25 南砂公園ガーデニア206号,月・火・木・金 9:00-11:30 15:00-18:00土 9:00-13:30,136-0076,03-3644-1971,柳瀬クリニック,×,×
,江東区北砂2-14-20,平日 9:00-18:30土   9:00-12:30,136-0073,03-3640-5341,北砂クリニック,×,×
http://www2.odn.ne.jp/yuricl,江東区亀戸4-18-4 亀戸メディカルビル5F,月・火・木・金 9:30-12:30 15:00-18:00第2・4・5土   9:30-12:30,136-0071,03-5627-3811,百合レディスクリニック,×,×
http://36350010.com/,江東区住吉1-19-1 ツインタワーすみとし住吉館204,月・火・木・金 9:30-12:30 15:00-18:30水 9:00-12:30 土 10:00-13:00,135-0002,03-3635-0010,医療法人社団理仁会ツインタワーすみとしクリニック,×,×
https://www.kosaka2014.jp/,江東区森下1-12-12,平日 8:30-12:00 14:30-17:30土   8:30-12:00  木 休診,135-0004,03-5638-6730,こさかレディースクリニック,×,×
,江東区木場5-3-10 東寿会ビル本館,平日 9:00-11:30 13:30-17:00土   9:00-12:00 13:30-15:30,135-0042,03-3630-0303,医療法人社団東壽会 東峯婦人クリニック,×,×
,江東区東陽4-8-21 TSK第2ビル3F,月・火・木・金・土 10:00-12:30月・火・木・金   15:30-19:00 予約制,135-0016,03-5926-5688,東陽すずらんレディースクリニック,×,×
,品川区大崎5-7-14 五反田ロイヤルハイツ101,月・火 9:00-13:30  水・金 15:00-18:30土 9:00-13:30,141-0032,03-3491-3073,江クリニック,×,×
https://fudomae.webnode.jp/,品川区西五反田5-11-13,月・火・水・木・金・土 10:00-13:00月・火・木・金      15:00-19:00,141-0031,03-3779-8711,不動前レディースクリニック,×,×
https://www.ran-ladies.com/,品川区北品川6-5-27 セントラル品川御殿山6F,月・火・木・金 9:30-12:30 14:00-17:30土  9:30-14:00,141-0001,03-5792-5617,らんレディースクリニック,×,×
